ref,greek_phrase,lemma,morphology,chosen_rendering,alternate_renderings,rationale,status,reviewer
Isaiah 59:18,ως ανταποδωσων ανταποδοσιν ονειδος τοις υπεναντιοις,ἀνταποδίδωμι | ἀνταπόδοσις | ὄνειδος | ὑπεναντίος,repayment/reproach phrase,as one who will give repayment reproach to the opponents,as one giving repayment reproach to opponents,English turns the participial fragment into a readable clause.,reviewed,codex
Isaiah 59:19,οι απο δυσμων ... οι απ ανατολων ηλιου ... ως ποταμος βιαιος η οργη,δυσμή | ἀνατολή | ἥλιος | ἔνδοξος | ποταμός | ὀργή,west/sunrise/wrath-river phrase,from the west ... from the sunrise the glorious name ... like a violent river,from the west ... from the sunrise his glorious name ... like violent river,Greek has the glorious name rather than his glorious name and needs article before river.,reviewed,codex
Isaiah 59:20,ηξει ενεκεν σιων ο ρυομενος και αποστρεψει ασεβειας απο ιακωβ,ἥκω | ἕνεκεν | Σιων | ῥύομαι | ἀποστρέφω | ἀσέβεια,rescuer/Zion/Jacob phrase,the rescuer will come for the sake of Zion and turn away ungodliness from Jacob,rescuer will come for the sake of Zion and turn away ungodliness from Jacob,English supplies article before rescuer and preserves the LXX for-the-sake-of-Zion wording.,reviewed,codex
Isaiah 60:2,σκοτος και γνοφος καλυψει γην επ εθνη ... επι δε σε φανησεται κυριος,σκότος | γνόφος | καλύπτω | γῆ | ἔθνος | φαίνω,darkness/gloom/glory phrase,darkness and gloom will cover the earth over nations,darkness and gloom will cover earth over nations,English supplies the before earth while preserving over nations.,reviewed,codex
Isaiah 60:4,συνηγμενα τα τεκνα σου ... παντες οι υιοι σου μακροθεν ... θυγατερες σου επ ωμων,συνάγω | τέκνον | υἱός | μακρόθεν | θυγάτηρ | ὦμος,gathered-children/sons-daughters phrase,children have been gathered ... sons have come from far away ... daughters on shoulders,children gathered ... sons came from far away ... daughters on shoulders,English renders participle and perfect as have been gathered and have come.,reviewed,codex
Isaiah 60:5,πλουτος θαλασσης και εθνων και λαων ... ηξουσιν σοι,πλοῦτος | θάλασσα | ἔθνος | λαός | ἥκω,wealth-sea/nations phrase,wealth of the sea and of nations and peoples,wealth of sea and of nations and peoples,English supplies the before sea.,reviewed,codex
Isaiah 60:6,εκ σαβα ... φεροντες χρυσιον και λιβανον ... το σωτηριον κυριου ευαγγελιουνται,Σαβα | χρυσίον | λίβανος | σωτήριον | κύριος | εὐαγγελίζω,Sheba/gold-frankincense phrase,from Sheba ... carrying gold and frankincense ... proclaiming the salvation of the Lord,from Sheba ... carrying gold and incense ... proclaiming salvation of the Lord,Frankincense is the normal rendering of λιβανος in this offering context and the Lord article is supplied.,reviewed,codex
Isaiah 60:7,παντα τα προβατα κηδαρ ... κριοι ναβαιωθ ... ο οικος της προσευχης μου,πρόβατον | Κηδαρ | κριός | Ναβαιωθ | θυσιαστήριον | προσευχή,Kedar/Nebaioth/altar phrase,all the sheep of Kedar ... rams of Nebaioth ... my house of prayer,all sheep of Kedar ... rams of Nebaioth ... my house of prayer,English supplies articles while preserving sacrificial imagery.,reviewed,codex
Isaiah 60:9,δια το ονομα κυριου το αγιον ... τον αγιον του ισραηλ ενδοξον ειναι,ὄνομα | κύριος | ἅγιος | Ἰσραήλ | ἔνδοξος,holy-name/Holy-One phrase,because of the holy name of the Lord and because the Holy One of Israel is glorified,because of holy name of the Lord and because the Holy One of Israel is glorified,English supplies the before holy name.,reviewed,codex
Isaiah 60:10,αλλογενεις τα τειχη σου ... οι βασιλεις αυτων παραστησονται σοι,ἀλλογενής | τεῖχος | βασιλεύς | παρίστημι | ὀργή | ἔλεος,foreigners/kings-stand phrase,foreigners will build your walls and their kings will stand beside you,foreigners will build your walls and their kings stand beside you,English supplies will for the future verb.,reviewed,codex
Isaiah 60:13,η δοξα του λιβανου ... δοξασαι τον τοπον τον αγιον μου,δόξα | Λίβανος | κυπάρισσος | πεύκη | κέδρος | τόπος,Lebanon/my-holy-place phrase,glory of Lebanon ... to glorify my holy place,glory of Lebanon ... to glorify place of my holy one,Greek phrase is τον τοπον τον αγιον μου meaning my holy place rather than place of my holy one.,reviewed,codex
Isaiah 60:14,υιοι ταπεινωσαντων σε και παροξυναντων σε ... πολις κυριου σιων αγιου ισραηλ,υἱός | ταπεινόω | παροξύνω | πόλις | κύριος | Σιων,humblers/city-of-Lord phrase,sons of those who humbled you ... city of the Lord Zion of the Holy One of Israel,sons of those humbling you ... city of the Lord Zion of the Holy One of Israel,English renders aorist participles as those who humbled and provoked.,reviewed,codex
Isaiah 60:16,εγω κυριος ο σωζων σε και εξαιρουμενος σε θεος ισραηλ,κύριος | σώζω | ἐξαιρέω | θεός | Ἰσραήλ,Lord-savior/deliverer phrase,I the Lord am the one saving you and delivering you the God of Israel,I the Lord am one saving you and delivering you God of Israel,English supplies the before one and God for divine-title readability.,reviewed,codex
Isaiah 60:18,κληθησεται σωτηριον τα τειχη σου και αι πυλαι σου γλυμμα,σωτήριον | τεῖχος | πύλη | γλύμμα,walls-salvation/gates-carved-work phrase,walls called Salvation and gates Carved Work,walls called Salvation and gates Praise,Greek has γλυμμα meaning carved work or engraving rather than the Hebrew-based Praise wording.,reviewed,codex
Isaiah 60:19,ουκ εσται σοι ο ηλιος εις φως ημερας ... κυριος φως αιωνιον,ἥλιος | φῶς | ἡμέρα | σελήνη | κύριος | αἰώνιος,sun-moon/everlasting-light phrase,the sun will not be light by day ... the Lord everlasting light,sun will not be light by day ... the Lord everlasting light,English supplies articles and will before the moon clause.,reviewed,codex
Isaiah 60:20,ου γαρ δυσεται ο ηλιος σοι ... αναπληρωθησονται αι ημεραι του πενθους σου,δύω | ἥλιος | σελήνη | ἐκλείπω | ἀναπληρόω | πένθος,sun-not-set/mourning-days phrase,sun will not set ... days of your mourning will be fulfilled,sun will not set ... days of your mourning will be fulfilled,English supplies the before days.,reviewed,codex
Isaiah 60:21,ο λαος σου πας δικαιος ... κληρονομησουσιν την γην ... φυλασσων το φυτευμα,λαός | δίκαιος | κληρονομέω | γῆ | φυτεύω | δόξα,people-righteous/plant-work phrase,all your people will be righteous ... inherit the land ... keeping the plant,all your people righteous ... inherit land ... keeping the plant,English supplies will be and the before land.,reviewed,codex
Isaiah 60:22,ο ολιγοστος εσται εις χιλιαδας ... εγω κυριος κατα καιρον συναξω αυτους,ὀλιγοστός | χιλιάς | ἐλάχιστος | ἔθνος | καιρός | συνάγω,least/thousands/gather phrase,the least one will become thousands ... I the Lord in due time will gather them,least one will become into thousands ... I,Restores the full Greek sentence after the raw draft had been truncated at I.,reviewed,codex
Isaiah 61:1,πνευμα κυριου επ εμε ... ευαγγελισασθαι πτωχοις ... τυφλοις αναβλεψιν,πνεῦμα | κύριος | χρίω | εὐαγγελίζω | πτωχός | ἀνάβλεψις,Spirit/anointed/good-news phrase,Spirit of the Lord is on me ... good news to the poor ... recovery of sight to the blind,Spirit of the Lord on me ... good news to poor ... sight to blind,English supplies is and articles and renders αναβλεψιν as recovery of sight.,reviewed,codex
Isaiah 61:2,καλεσαι ενιαυτον κυριου δεκτον και ημεραν ανταποδοσεως,καλέω | ἐνιαυτός | κύριος | δεκτός | ἡμέρα | ἀνταπόδοσις,acceptable-year/repayment-day phrase,to call the acceptable year of the Lord and the day of repayment,call year of the Lord acceptable and day of repayment,English keeps infinitive continuation from v1 and supplies articles.,reviewed,codex
Isaiah 61:3,δοθηναι τοις πενθουσιν σιων ... αλειμμα ευφροσυνης ... πνευματος ακηδιας,δίδωμι | πενθέω | Σιων | ἄλειμμα | εὐφροσύνη | ἀκηδία,mourning/gladness/weariness phrase,to give to those mourning Zion ... oil of gladness ... spirit of weariness,give to mourning ones of Zion ... oil of gladness ... spirit of weariness,English keeps infinitive continuation and supplies articles.,reviewed,codex
Micah 6:8,ἕτοιμον εἶναι τοῦ πορεύεσθαι,ἕτοιμος | πορεύομαι,predicate adjective + infinitive construction,be ready to walk with the Lord your God,be prepared to go with the Lord your God; walk humbly with your God,Direct Logos export supports the current LXX-shaped wording. The draft keeps ready-to-walk language rather than importing the familiar MT humble-walk phrasing.,reviewed,user
Jeremiah 4:2,μετὰ ἀληθείας καὶ ἐν κρίσει καὶ ἐν δικαιοσύνῃ,ἀλήθεια | κρίσις | δικαιοσύνη,prepositional triad,with truth and in judgment and in righteousness,truly in judgment and righteousness; with truth and justice and righteousness,Direct Logos export supports the current wording close to the Greek triad. The draft keeps all three covenant-ethical terms visible.,reviewed,user
Jeremiah 4:1,εὐλαβηθῇ ἀπὸ τοῦ προσώπου μου,εὐλαβέομαι | πρόσωπον,reverence/fear before-face phrase,is reverent before my face,fears from before my face,English uses reverent to avoid the awkward fears from wording while preserving the before-my-face idiom.,reviewed,codex
Jeremiah 4:3,νεώσατε ἑαυτοῖς νεώματα,νεόω | νέωμα,agricultural fresh-ground command,Break up fresh ground for yourselves,make new ground for yourselves,English uses the established fresh-ground farming idiom for the LXX renewal command.,reviewed,codex
Jeremiah 4:4,περιτέμεσθε τὴν σκληροκαρδίαν ὑμῶν,περιτέμνω | σκληροκαρδία,circumcision of hard heart phrase,circumcise your hardness of heart,circumcise your hardheartedness,English expands the compound term into readable heart-language while keeping the circumcision image.,reviewed,codex
Jeremiah 4:5,σημάνατε ἐπὶ τῆς γῆς σάλπιγγι,σημαίνω | γῆ | σάλπιγξ,trumpet alarm phrase,Sound a trumpet upon the land,Sound trumpet upon the land,English supplies a for the singular trumpet alarm.,reviewed,codex
Jeremiah 4:6,ἀναλαβόντες φεύγετε εἰς Σιών,ἀναλαμβάνω | φεύγω | Σιών,flight imperative phrase,Take flight to Zion,Take up fleeing to Zion,English uses the compact flight idiom for the paired take-up/flee command.,reviewed,codex
Jeremiah 4:7,λέων ... ἐξολεθρεύων ἔθνη,λέων | ἐξολεθρεύω | ἔθνος,lion/destroyer image,A lion ... a destroyer of nations,Lion ... destroyer of nations,English supplies articles while keeping the LXX threat image.,reviewed,codex
Jeremiah 4:8,ὁ θυμὸς κυρίου,θυμός | κύριος,articular anger phrase,the anger of the Lord,anger of the Lord,English supplies the for the articular anger phrase.,reviewed,codex
Jeremiah 4:9,ἡ καρδία τοῦ βασιλέως ... οἱ ἱερεῖς ... οἱ προφῆται,καρδία | βασιλεύς | ἱερεύς | προφήτης,leadership-collapse sequence,the heart of the king ... the priests ... the prophets,heart of king ... priests ... prophets,English supplies articles for the named leadership groups.,reviewed,codex
Jeremiah 4:10,ἀπατῶν ἠπάτησας,ἀπατάω,deception-root repetition,you deceived ... by deception,you deceived by deceiving; surely by deception you deceived,English preserves the repeated deception root while smoothing word order.,reviewed,codex
Jeremiah 4:11,πνεῦμα πλανήσεως ἐν τῇ ἐρήμῳ,πνεῦμα | πλάνησις | ἔρημος,difficult spirit/wandering wilderness phrase,A spirit of wandering in the wilderness,Spirit of wandering in the wilderness,English supplies a and keeps the difficult LXX wind/spirit imagery visible.,reviewed,codex
Jeremiah 4:12,πνεῦμα πληρώσεως ἥξει μοι,πνεῦμα | πλήρωσις,spirit/wind of fullness phrase,A spirit of fullness will come to me,The spirit of fullness will come to me,English uses a for the anarthrous phrase while retaining the unusual LXX fullness wording.,reviewed,codex
Jeremiah 4:13,ὡς νεφέλη ... ὡς καταιγίς ... κουφότεροι ἀετῶν,νεφέλη | καταιγίς | ἀετός,storm-cloud/chariot/eagle image,like a cloud ... like a storm ... lighter than eagles,like a cloud ... like a storm ... lighter than eagles,English keeps the stacked speed and storm images.,reviewed,codex
Jeremiah 4:14,διαλογισμοὶ πόνων σου,διαλογισμός | πόνος,thoughts of labors phrase,the thoughts of your labors,thoughts of your labors,English supplies the for the plural thought phrase while retaining labors rather than replacing it with generic evil thoughts.,reviewed,codex
Jeremiah 4:15,φωνὴ ἀναγγέλλοντος ἐκ Δάν,φωνή | ἀναγγέλλω | Δάν,announcer voice phrase,a voice of one declaring will come from Dan,the voice of one declaring will come from Dan,English supplies a for the singular voice phrase.,reviewed,codex
Jeremiah 4:16,συστροφαὶ ἔρχονται ἐκ γῆς μακρόθεν,συστροφή | ἔρχομαι | γῆ | μακρόθεν,crowds from far land phrase,Crowds are coming from a far land,Crowds come from far land,English supplies a for the singular far-land phrase and uses progressive coming for the threat movement.,reviewed,codex
Jeremiah 4:17,ὡς φυλάσσοντες ἀγρόν,φυλάσσω | ἀγρός,field-keeper comparison,Like keepers of a field,Like keepers of field,English supplies a for the singular field comparison.,reviewed,codex
Jeremiah 4:18,αὕτη ἡ κακία σου ... ἥψατο ἕως τῆς καρδίας σου,κακία | πικρός | καρδία,bitter evil touching heart phrase,"This is your evil, because it is bitter, because it touched your heart","This your evil, because bitter, because it touched to your heart",English supplies needed verbs while keeping the bitter/touched-heart structure.,reviewed,codex
Jeremiah 4:19,τὴν κοιλίαν μου ... τὰ αἰσθητήρια τῆς καρδίας μου,κοιλία | αἰσθητήριον | καρδία,visceral anguish phrase,"My belly, my belly ... the feelings of my heart",My belly ... feelings of my heart,English supplies the before feelings and is before torn while keeping visceral language.,reviewed,codex
Jeremiah 4:20,ταλαιπωρίαν συντριμμὸν ἐπικαλεῖται,ταλαιπωρία | συντριμμός,difficult affliction/crushing phrase,Affliction calls crushing,Affliction calls crushing,The draft keeps the difficult paired affliction/crushing language rather than over-paraphrasing.,reviewed,codex
Jeremiah 4:21,ὄψομαι φεύγοντας ἀκούων φωνὴν σαλπίγγων,ὁράω | φεύγω | ἀκούω | σάλπιγξ,see/hear participial phrase,see fugitives and hear the sound of trumpets,see fugitives hearing the sound of trumpets,English coordinates see and hear for readability.,reviewed,codex
Jeremiah 4:22,σοφοί εἰσιν τοῦ κακοποιῆσαι τὸ δὲ καλῶς ποιῆσαι οὐκ ἐπέγνωσαν,σοφός | κακοποιέω | καλῶς ποιέω,wise-to-evil/not-know-good phrase,"wise to do evil, but they did not know how to do good","wise to do evil, but to do good they did not know",English reorders the final infinitive phrase for natural idiom.,reviewed,codex
Jeremiah 4:23,ἐπέβλεψα ἐπὶ τὴν γῆν ... εἰς τὸν οὐρανόν,γῆ | οὐρανός | ἐπιβλέπω,earth/heaven vision phrase,I looked upon the earth ... and to heaven,I looked upon earth ... and to heaven,English supplies the before earth while keeping the earth/heaven scope.,reviewed,codex
Jeremiah 4:24,τὰ ὄρη ... πάντας τοὺς βουνούς,ὄρος | βουνός,mountains/hills vision phrase,the mountains ... all the hills,mountains ... all hills,English supplies articles for the articular mountain/hill phrases.,reviewed,codex
Jeremiah 4:25,οὐκ ἦν ἄνθρωπος,ἄνθρωπος,no-human phrase,there was no human,there was no man,English uses human for anthropos in this creation-wide vision.,reviewed,codex
Jeremiah 4:26,ὁ Κάρμηλος ἔρημος ... αἱ πόλεις ἐμπεπυρισμέναι πυρί,Κάρμηλος | ἔρημος | πόλις | πῦρ,Carmel/desert/burned-cities vision,Carmel was a desert ... all the cities were burned with fire,Carmel a desert ... all cities burned with fire,English supplies was/were and articles while preserving the devastation sequence.,reviewed,codex
Jeremiah 4:27,συντέλειαν δὲ οὐ μὴ ποιήσω,συντέλεια | ποιέω,no-full-end phrase,I will not make a full end,I will not make full end,English supplies a for the established full-end idiom.,reviewed,codex
Jeremiah 4:28,ὥρμησα καὶ οὐκ ἀποστρέψω ἀπ' αὐτῆς,ὁρμάω | ἀποστρέφω,set-in-motion/no-turn-back phrase,I set it in motion and will not turn back from it,I rushed in and will not turn back from it,English renders the motion verb as set it in motion to avoid the misleading rushed-in idiom.,reviewed,codex
Jeremiah 4:29,ἀπὸ φωνῆς ἱππέως καὶ ἐντεταμένου τόξου,φωνή | ἱππεύς | τόξον,horseman/bent-bow panic phrase,From the sound of a horseman and a bent bow,From the sound of horseman and bent bow,English supplies articles for the singular threat image.,reviewed,codex
Jeremiah 4:30,ἐγχρίσῃ στίβι τοὺς ὀφθαλμούς σου,ἐγχρίω | στίβι | ὀφθαλμός,cosmetic-eye image,paint your eyes with antimony,paint your eyes with antimony,The translation keeps the ancient cosmetic term antimony rather than replacing it with a generic word.,reviewed,codex
Jeremiah 4:31,φωνὴν ὡς ὠδινούσης ... φωνὴ θυγατρὸς Σιών,φωνή | ὠδίνω | θυγάτηρ | Σιών,laboring daughter-Zion voice,I heard a voice as of a woman in labor ... the voice of the daughter of Zion,voice as of a woman in labor I heard ... voice of daughter of Zion,English reorders the first clause and supplies articles for the daughter-of-Zion title.,reviewed,codex
Jeremiah 5:1,ἄνδρα ... ποιῶν κρίμα καὶ ζητῶν πίστιν,ἀνήρ | ποιέω | κρίμα | πίστις,singular just-man search phrase,a man doing judgment and seeking faithfulness,man doing judgment and seeking faithfulness,English supplies a for the singular man sought in Jerusalem.,reviewed,codex
Jeremiah 5:2,οὐκ ἐπὶ ψεύδεσιν ὀμνύουσιν,ψεῦδος | ὀμνύω,rhetorical false-oath question,do they not swear by lies?,they swear by lies,English keeps the Greek rhetorical-question force instead of flattening it to a statement.,reviewed,codex
Jeremiah 5:3,ἐμαστίγωσας αὐτοὺς καὶ οὐκ ἐπόνεσαν,μαστιγόω | πονέω,struck/not-pained phrase,You struck them and they were not pained,You struck them and they did not hurt,English uses were not pained for the passive-like experience of the Greek verb.,reviewed,codex
Jeremiah 5:4,ὁδὸν κυρίου καὶ κρίσιν θεοῦ,ὁδός | κύριος | κρίσις | θεός,way/judgment knowledge phrase,the way of the Lord and the judgment of God,the way of the Lord and judgment of God,English supplies the for the second coordinated object phrase.,reviewed,codex
Jeremiah 5:5,πρὸς τοὺς ἁδροὺς ... ὁδὸν κυρίου καὶ κρίσιν θεοῦ,ἁδρός | ὁδός | κύριος | κρίσις | θεός,great-men knowledge contrast,the great men ... the way of the Lord and the judgment of God,great men ... the way of the Lord and judgment of God,English supplies articles for the social group and second coordinated object phrase.,reviewed,codex
Jeremiah 5:6,λέων ... λύκος ... πάρδαλις,λέων | λύκος | πάρδαλις,predator judgment triad,a lion ... a wolf ... a leopard,lion ... wolf ... leopard,English supplies articles for the three predator images.,reviewed,codex
Jeremiah 5:7,ἐν τοῖς οὐκ οὖσιν θεοῖς,θεός | εἰμί,not-gods oath phrase,the things that are not gods,those that are not gods,English renders the plural articular phrase as things that are not gods rather than personalizing it.,reviewed,codex
Jeremiah 5:8,ἵπποι θηλυμανεῖς ... ἐχρεμέτιζον,ἵππος | θηλυμανής | χρεμετίζω,lustful-horse image,lustful horses; each one neighed,lustful horses each neighing,English turns the participial-like English into a finite image while retaining the animal metaphor.,reviewed,codex
Jeremiah 5:9,ἐν ἔθνει τοιούτῳ,ἔθνος | τοιοῦτος,visitation/vengeance refrain,such a nation,such nation,English supplies a for the singular nation phrase.,reviewed,codex
Jeremiah 5:10,ὅτι τοῦ κυρίου εἰσίν,κύριος,Lord-possessive phrase,they are the Lord's,they are Lord's,English supplies the for the possessive divine title.,reviewed,codex
Jeremiah 5:11,ἀθετῶν ἠθέτησεν ... οἶκος Ἰσραὴλ καὶ οἶκος Ἰούδα,ἀθετέω | οἶκος | Ἰσραήλ | Ἰούδα,faithlessness-root repetition,acted faithlessly toward me with faithlessness,in faithlessness ... acted faithlessly toward me,English preserves the repeated faithlessness root with clearer word order.,reviewed,codex
Jeremiah 5:12,οὐκ ἔστιν ταῦτα,εἰμί | οὗτος,denial-of-judgment phrase,These things are not,He is not,Greek has the plural/neuter these things rather than a denial of the Lord's existence.,reviewed,codex
Jeremiah 5:13,οἱ προφῆται ἡμῶν ἦσαν εἰς ἄνεμον,προφήτης | ἄνεμος,prophets-as-wind phrase,Our prophets were wind,Our prophets were wind,Reviewed and retained the LXX wind image for empty prophecy.,reviewed,codex
Jeremiah 5:14,τοὺς λόγους μου ... πῦρ καὶ τὸν λαὸν τοῦτον ξύλα,λόγος | πῦρ | λαός | ξύλον,words-as-fire/people-as-wood image,my words in your mouth fire and this people as wood,my words in your mouth fire and this people wood,English supplies as for the wood comparison while keeping the LXX image.,reviewed,codex
Jeremiah 5:15,ἔθνος πόρρωθεν ... τῆς φωνῆς τῆς γλώσσης αὐτοῦ,ἔθνος | πόρρωθεν | φωνή | γλῶσσα,far-nation language phrase,a nation whose language's voice you will not hear,nation whose language voice you will not hear,English supplies articles and keeps the voice-of-language wording visible.,reviewed,codex
Jeremiah 5:16,πάντες ἰσχυροί,ἰσχυρός,mighty-men short verse,All are mighty men,All are mighty men,Reviewed and retained the compact LXX line.,reviewed,codex
Jeremiah 5:17,ἀλοήσουσιν ... ἐν ῥομφαίᾳ,ἀλοάω | πόλις | ῥομφαία,thresh-cities-by-sword phrase,thresh your fortified cities ... by sword,thresh your fortified cities ... with sword,English uses by sword for the instrument phrase.,reviewed,codex
Jeremiah 5:18,οὐ μὴ ποιήσω ὑμᾶς εἰς συντέλειαν,ποιέω | συντέλεια,no-full-end promise,I will not make a full end of you,I will not make a full end of you,Reviewed and retained the full-end limitation phrase.,reviewed,codex
Jeremiah 5:19,θεοῖς ἀλλοτρίοις ... ἀλλοτρίοις ἐν γῇ οὐχ ὑμῶν,ἀλλότριος | θεός | γῆ,foreign-gods/foreigners wordplay,foreign gods ... foreigners in a land not yours,foreign gods ... foreigners in a land not yours,Reviewed and retained the foreign/foreigners consequence wording.,reviewed,codex
Jeremiah 5:21,ὀφθαλμοὶ αὐτοῖς καὶ οὐ βλέπουσιν ὦτα αὐτοῖς καὶ οὐκ ἀκούουσιν,ὀφθαλμός | βλέπω | οὖς | ἀκούω,eyes/ears incapacity line,they have eyes and do not see ears and do not hear,eyes to them and they do not see ears to them and they do not hear,English supplies have to make the incapacity idiom readable.,reviewed,codex
Jeremiah 5:22,ἄμμον ὅριον τῇ θαλάσσῃ πρόσταγμα αἰώνιον,ἄμμος | ὅριον | θάλασσα | πρόσταγμα,boundary-for-sea phrase,sand as a boundary for the sea,sand as boundary to sea,English supplies a and uses for the sea to clarify the boundary image.,reviewed,codex
Jeremiah 5:23,καρδία ἀνήκοος καὶ ἀπειθής,καρδία | ἀνήκοος | ἀπειθής,disobedient/rebellious heart,a disobedient and rebellious heart,disobedient and rebellious heart,English supplies a for the singular heart image.,reviewed,codex
Jeremiah 5:24,ὑετὸν πρόϊμον καὶ ὄψιμον ... πληρώσεως προστάγματος θερισμοῦ,ὑετός | πρόϊμος | ὄψιμος | πλήρωσις | πρόσταγμα | θερισμός,rain/appointed-harvest phrase,early and late rain ... the fullness of the appointed harvest,early and late rain ... fullness of harvest command,English clarifies the appointed-harvest phrase while preserving the rain and harvest timing.,reviewed,codex
Jeremiah 5:25,αἱ ἀνομίαι ὑμῶν ... αἱ ἁμαρτίαι ὑμῶν,ἀνομία | ἁμαρτία,lawless-deeds/sins consequence,lawless deeds ... sins removed good things,lawless deeds ... sins removed good things,Reviewed and retained the twofold lawless-deeds/sins consequence.,reviewed,codex
Jeremiah 5:26,παγίδας ἔστησαν διαφθεῖραι ἄνδρας,παγίς | διαφθείρω | ἀνήρ,trap-destroy-capture line,set traps to destroy men and captured them,set traps to destroy men and captured them,English adds punctuation to clarify the two actions.,reviewed,codex
Jeremiah 5:27,ὡς παγὶς ἐφεσταμένη πλήρης πετεινῶν ... οἱ οἶκοι αὐτῶν πλήρεις δόλου,παγίς | πετεινόν | οἶκος | δόλος,snare/birds/deceitful-houses image,As a snare set up full of birds so their houses are full of deceit,As snare set up full of birds so their houses full of deceit,English supplies article and verb for the comparison.,reviewed,codex
Jeremiah 5:28,κρίσιν ὀρφανοῦ ... κρίσιν χήρας,κρίσις | ὀρφανός | χήρα,orphan/widow cause line,the cause of an orphan ... the cause of a widow,cause of orphan ... cause of widow,English supplies articles for the legal-cause phrases.,reviewed,codex
Jeremiah 5:29,ἐν ἔθνει τῷ τοιούτῳ,ἔθνος | τοιοῦτος,visitation refrain,such a nation,such nation,English supplies a for the singular nation phrase.,reviewed,codex
Jeremiah 5:30,ἐπὶ τῆς γῆς,γῆ,earth-horror phrase,upon the earth,on earth,English uses upon the earth for the prepositional phrase.,reviewed,codex
Jeremiah 5:31,οἱ ἱερεῖς ἐπεκρότησαν ταῖς χερσὶν αὐτῶν,ἱερεύς | ἐπικροτέω | χείρ,priests-clapped phrase,priests clapped their hands,priests clapped with their hands,English uses the natural idiom clapped their hands.,reviewed,codex
Jeremiah 6:1,Θεκουε ... Βαιθαχαρμα ... σάλπιγγι ... σημεῖον,Θεκουε | Βαιθαχαρμα | σάλπιγξ | σημεῖον,Tekoa/Beth-haccherem alarm line,Tekoa ... Beth-haccherem ... sound a trumpet ... lift a signal,Tekoa ... Bethhaccerem ... sound trumpet ... lift signal,English supplies articles for the alarm commands and standardizes the place name Beth-haccherem.,reviewed,codex
Jeremiah 6:2,θυγάτερ Σιών,θυγάτηρ | Σιών,daughter-Zion vocative,O daughter of Zion,daughter of Zion,English uses O for the vocative address.,reviewed,codex
Jeremiah 6:3,εἰς αὐτὴν ἥξουσιν ποιμένες καὶ τὰ ποίμνια αὐτῶν,ποιμήν | ποίμνιον,shepherds/flocks movement line,Shepherds and their flocks will come to her,To her shepherds and their flocks will come,English reorders the arrival phrase while retaining shepherds and flocks.,reviewed,codex
Jeremiah 6:4,κέκλικεν ἡ ἡμέρα ... αἱ σκιαὶ τῆς ἑσπέρας,ἡμέρα | σκιά | ἑσπέρα,noon/evening assault line,the day has declined ... the shadows of evening fail,day has declined ... shadows of evening fail,English supplies articles for the day and evening-shadow phrases.,reviewed,codex
Jeremiah 6:5,ἐν τῇ νυκτί,νύξ,night assault line,in the night,in night,English supplies the for the articular night phrase.,reviewed,codex
Jeremiah 6:6,ὦ πόλις ψευδής ὅλη καταδυναστεία ἐν αὐτῇ,πόλις | ψευδής | καταδυναστεία,false-city/oppression line,O false city all oppression is in her,O false city all oppression in her,English supplies is for the predicate while retaining the false-city address.,reviewed,codex
Jeremiah 6:7,ὡς ψύχει λάκκος ὕδωρ οὕτως ψύχει κακία αὐτῆς,λάκκος | ὕδωρ | κακία,cistern/evil-cooling image,As a cistern cools its water so her evil cools,As cistern cools its water so her evil cools,English supplies a for the cistern image.,reviewed,codex
Jeremiah 6:8,ἄβατον γῆν ἥτις οὐ κατοικηθήσεται,ἄβατος | γῆ | κατοικέω,pathless-land warning,a pathless land that will not be inhabited,pathless land not inhabited,English supplies a and makes the relative clause explicit.,reviewed,codex
Jeremiah 6:9,καλαμᾶσθε ... ὡς ἄμπελον τὰ κατάλοιπα τοῦ Ἰσραήλ,καλαμάομαι | ἄμπελος | κατάλοιπος | Ἰσραήλ,gleaning-remnant image,Glean as a vine the remnants of Israel,Glean as vine the remnant of Israel,English supplies a and uses remnants for the plural form.,reviewed,codex
Jeremiah 6:10,ἀπερίτμητα τὰ ὦτα αὐτῶν,ἀπερίτμητος | οὖς,uncircumcised-ears phrase,their ears are uncircumcised,their ears uncircumcised,English supplies are for the predicate phrase.,reviewed,codex
Jeremiah 6:11,ἐπὶ συναγωγὴν νεανίσκων ... πρεσβύτερος μετὰ πλήρους ἡμερῶν,συναγωγή | νεανίσκος | πρεσβύτερος | πλήρης | ἡμέρα,gathering/elder-full-days line,a gathering of young men ... an elder together with one full of days,gathering of young men ... elder with the fullness of days,English supplies articles and clarifies the paired age groups.,reviewed,codex
Jeremiah 6:12,μεταστραφήσονται αἱ οἰκίαι αὐτῶν εἰς ἑτέρους ἀγροὶ καὶ αἱ γυναῖκες αὐτῶν,οἰκία | ἕτερος | ἀγρός | γυνή,houses/fields/wives transferred line,houses will be turned over to others their fields and their wives,houses will be turned to others fields and their wives,English adds over and supplies their for fields to clarify the transfer list.,reviewed,codex
Jeremiah 6:13,ἀπὸ μικροῦ ... ἕως μεγάλου ... συνετελέσαντο ἄνομα,μικρός | μέγας | συντελέω | ἄνομος,small-to-great lawlessness line,from their small one even to their great one ... completed lawless things,from their small one even to great one ... complete lawlessness,English supplies their and makes the completed-lawless-things phrase grammatical.,reviewed,codex
