ref,book_code,book_name,chapter,verse,greek_text,transliteration,literal_gloss,syntax_notes,draft_translation
Genesis 7:21,GEN,Genesis,7,21,καὶ ἀπέθανε πᾶσα σὰρξ κινουμένη ἐπὶ τῆς γῆς τῶν πετεινῶν καὶ τῶν κτηνῶν καὶ ἀπὸ θηρίων καὶ πᾶν ἑρπετὸν κινούμενον ἐπὶ τῆς γῆς καὶ πᾶς ἄνθρωπος.,,,,
Genesis 7:22,GEN,Genesis,7,22,"καὶ πάντα, ὅσα ἔχει πνοὴν ζωῆς, καὶ πᾶν, ὃ ἦν ἐπὶ τῆς ξηρᾶς, ἀπέθανε.",,,,
Genesis 7:23,GEN,Genesis,7,23,"καὶ ἐξήλειψε πᾶν τὸ ἀνάστημα, ὃ ἦν ἐπί προσώπου τῆς γῆς, ἀπὸ ἀνθρώπου ἕως κτήνους καὶ ἑρπετῶν καὶ τῶν πετεινῶν τοῦ οὐρανοῦ, καὶ ἐξηλείφθησαν ἀπὸ τῆς γῆς· καὶ κατελείφθη μόνος Νῶε καὶ οἱ μετ᾿ αὐτοῦ ἐν τῇ κιβωτῷ.",,,,
Genesis 7:24,GEN,Genesis,7,24,καὶ ὑψώθη τὸ ὕδωρ ἐπὶ τῆς γῆς ἡμέρας ἑκατὸν πεντήκοντα.,,,,
Genesis 8:1,GEN,Genesis,8,1,"ΚΑΙ ἀνεμνήσθη ὁ Θεὸς τοῦ Νῶε καὶ πάντων τῶν θηρίων καὶ πάντων τῶν κτηνῶν καὶ πάντων τῶν πετεινῶν καὶ πάντων τῶν ἑρπετῶν τῶν ἑρπόντων, ὅσα ἦν μετ᾿ αὐτοῦ ἐν τῇ κιβωτῷ, καὶ ἐπήγαγεν ὁ Θεὸς πνεῦμα ἐπὶ τὴν γῆν, καὶ ἐκόπασε τὸ ὕδωρ,",,,,
Genesis 8:2,GEN,Genesis,8,2,"καὶ ἐπεκαλύφθησαν αἱ πηγαὶ τῆς ἀβύσσου καὶ οἱ καταρράκται τοῦ οὐρανοῦ, καὶ συνεσχέθη ὁ ὑετὸς ἀπὸ τοῦ οὐρανοῦ.",,,,
Genesis 8:3,GEN,Genesis,8,3,"καὶ ἐνεδίδου τὸ ὕδωρ πορευόμενον ἀπὸ τῆς γῆς, καὶ ἠλαττονοῦτο τὸ ὕδωρ μετὰ πεντήκοντα καὶ ἑκατὸν ἡμέρας.",,,,
Genesis 8:4,GEN,Genesis,8,4,"καὶ ἐκάθισεν ἡ κιβωτὸς ἐν μηνὶ τῷ ἑβδόμῳ, ἑβδόμῃ καὶ εἰκάδι τοῦ μηνός, ἐπὶ τὰ ὄρη τὰ ᾿Αραράτ.",,,,
Genesis 8:5,GEN,Genesis,8,5,"τὸ δὲ ὕδωρ ἠλαττονοῦτο ἕως τοῦ δεκάτου μηνός· καὶ ἐν τῷ δεκάτῳ μηνί, τῇ πρώτῃ τοῦ μηνός, ὤφθησαν αἱ κεφαλαὶ τῶν ὀρέων.",,,,
Genesis 8:6,GEN,Genesis,8,6,"καὶ ἐγένετο μετὰ τεσσαράκοντα ἡμέρας ἠνέῳξε Νῶε τὴν θυρίδα τῆς κιβωτοῦ, ἣν ἐποίησε, καὶ ἀπέστειλε τὸν κόρακα τοῦ ἰδεῖν, εἰ κεκόπακε τὸ ὕδωρ·",,,,
Genesis 8:7,GEN,Genesis,8,7,"καὶ ἐξελθών, οὐκ ἀνέστρεψεν ἕως τοῦ ξηρανθῆναι τὸ ὕδωρ ἀπὸ τῆς γῆς.",,,,
Genesis 8:8,GEN,Genesis,8,8,"καὶ ἀπέστειλε τὴν περιστερὰν ὀπίσω αὐτοῦ ἰδεῖν, εἰ κεκόπακε τὸ ὕδωρ ἀπὸ τῆς γῆς.",,,,
Genesis 8:9,GEN,Genesis,8,9,"καὶ οὐχ εὑροῦσαι ἡ περιστερὰ ἀνάπαυσιν τοῖς ποσὶν αὐτῆς, ἀνέστρεψε πρὸς αὐτὸν εἰς τὴν κιβωτόν, ὅτι ὕδωρ ἦν ἐπὶ πᾶν τὸ πρόσωπον τῆς γῆς, καὶ ἐκτείνας τὴν χεῖρα ἔλαβεν αὐτήν, καὶ εἰσήγαγεν αὐτὴν πρὸς ἑαυτὸν εἰς τὴν κιβωτόν.",,,,
Genesis 8:10,GEN,Genesis,8,10,"καὶ ἐπισχὼν ἔτι ἡμέρας ἑπτὰ ἑτέρας, πάλιν ἐξαπέστειλε τὴν περιστερὰν ἐκ τῆς κιβωτοῦ·",,,,
Genesis 8:11,GEN,Genesis,8,11,"καὶ ἀνέστρεψε πρὸς αὐτὸν ἡ περιστερὰ τὸ πρὸς ἑσπέραν, καὶ εἶχε φύλλον ἐλαίας κάρφος ἐν τῷ στόματι αὐτῆς, καὶ ἔγνω Νῶε ὅτι κεκόπακε τὸ ὕδωρ ἀπὸ τῆς γῆς.",,,,
Genesis 8:12,GEN,Genesis,8,12,"καὶ ἐπισχὼν ἔτι ἡμέρας ἑπτὰ ἑτέρας, πάλιν ἐξαπέστειλε τὴν περιστεράν, καὶ οὑ προσέθετο τοῦ ἐπιστρέψαι πρὸς αὐτὸν ἔτι.",,,,
Genesis 8:13,GEN,Genesis,8,13,"καὶ ἐγένετο ἐν τῷ ἑνὶ καὶ ἑξακοσιοστῷ ἔτει ἐν τῇ ζωῇ τοῦ Νῶε, τοῦ πρώτου μηνός, μιᾷ τοῦ μηνός, ἐξέλιπε τὸ ὕδωρ ἀπὸ τῆς γῆς· καὶ ἀπεκάλυψε Νῶε τὴν στέγην τῆς κιβωτοῦ, ἣν ἐποίησε, καὶ εἶδεν ὅτι ἐξέλιπε τὸ ὕδωρ ἀπὸ προσώπου τῆς γῆς.",,,,
Genesis 8:14,GEN,Genesis,8,14,"ἐν δὲ τῷ δευτέρῳ μηνὶ ἐξηράνθη ἡ γῆ, ἑβδόμῃ καὶ εἰκάδι τοῦ μηνός.",,,,
Genesis 8:15,GEN,Genesis,8,15,Καὶ εἶπε Κύριος ὁ Θεὸς πρὸς Νῶε λέγων·,,,,
Genesis 8:16,GEN,Genesis,8,16,"ἔξελθε ἐκ τῆς κιβωτοῦ, σὺ καὶ ἡ γυνή σου καὶ οἱ υἱοί σου καὶ αἱ γυναῖκες τῶν υἱῶν σου μετὰ σοῦ",,,,
Genesis 8:17,GEN,Genesis,8,17,"καὶ πάντα τὰ θηρία, ὅσα ἐστὶ μετὰ σοῦ, καὶ πᾶσα σὰρξ ἀπὸ πετεινῶν ἕως κτηνῶν, καὶ πᾶν ἑρπετὸν κινούμενον ἐπὶ τῆς γῆς ἐξάγαγε μετὰ σεαυτοῦ· καὶ αὐξάνεσθε καὶ πληθύνεσθε ἐπὶ τῆς γῆς.",,,,
Genesis 8:18,GEN,Genesis,8,18,καὶ ἐξῆλθε Νῶε καὶ ἡ γυνὴ αὐτοῦ καὶ οἱ υἱοὶ αὐτοῦ καὶ αἱ γυναῖκες τῶν υἱῶν αὐτοῦ μετ᾿ αὐτοῦ.,,,,
Genesis 8:19,GEN,Genesis,8,19,"καὶ πάντα τὰ θηρία, καὶ πάντα τὰ κτήνη, καὶ πᾶν πετεινόν, καὶ πᾶν ἑρπετὸν κινούμενον ἐπὶ τῆς γῆς κατὰ γένος αὐτῶν, ἐξήλθοσαν ἐκ τῆς κιβωτοῦ.",,,,
Genesis 8:20,GEN,Genesis,8,20,"καὶ ᾠκοδόμησε Νῶε θυσιαστήριον τῷ Κυρίῳ, καὶ ἔλαβεν ἀπὸ πάντων τῶν κτηνῶν τῶν καθαρῶν καὶ ἀπὸ πάντων τῶν πετεινῶν τῶν καθαρῶν καὶ ἀνήνεγκεν εἰς ὁλοκάρπωσιν ἐπὶ τὸ θυσιαστήριον.",,,,
Genesis 8:21,GEN,Genesis,8,21,"καὶ ὠσφράνθη Κύριος ὁ Θεὸς ὀσμὴν εὐωδίας, καὶ εἶπε Κύριος ὁ Θεὸς διανοηθείς· οὐ προσθήτω ἔτι καταράσασθαι τὴν γῆν διὰ τὰ ἔργα τῶν ἀνθρώπων, ὅτι ἔγκειται ἡ διάνοια τοῦ ἀνθρώπου ἐπιμελῶς ἐπὶ τὰ πονηρὰ ἐκ νεότητος αὐτοῦ· οὐ προσθήσω οὖν ἔτι πατάξαι πᾶσαν σάρκα ζῶσαν, καθὼς ἐποίησα.",,,,
Genesis 8:22,GEN,Genesis,8,22,"πάσας τὰς ἡμέρας τῆς γῆς, σπέρμα καὶ θερισμός, ψῦχος καὶ καῦμα, θέρος καὶ ἔαρ, ἡμέραν καὶ νύκτα οὐ καταπαύσουσι.",,,,
Genesis 9:1,GEN,Genesis,9,1,ΚΑΙ εὐλόγησεν ὁ Θεὸς τὸν Νῶε καὶ τοὺς υἱοὺς αὐτοῦ καὶ εἶπεν αὐτοῖς· αὐξάνεσθε καὶ πληθύνεσθε καὶ πληρώσατε τὴν γῆν καὶ κατακυριεύσατε αὐτῆς.,,,,
Genesis 9:2,GEN,Genesis,9,2,"καὶ ὁ τρόμος καὶ ὁ φόβος ὑμῶν ἔσται ἐπὶ πᾶσι τοῖς θηρίοις τῆς γῆς, ἐπὶ πάντα τὰ πετεινὰ τοῦ οὐρανοῦ καὶ ἐπὶ πάντα τὰ κινούμενα ἐπὶ τῆς γῆς καὶ ἐπὶ πάντας τοὺς ἰχθύας τῆς θαλάσσης· ὑπὸ χεῖρας ὑμῖν δέδωκα.",,,,
Genesis 9:3,GEN,Genesis,9,3,"καὶ πᾶν ἑρπετόν, ὅ ἐστι ζῶν, ὑμῖν ἔσται εἰς βρῶσιν· ὡς λάχανα χόρτου δέδωκα ὑμῖν τὰ πάντα.",,,,
Genesis 9:4,GEN,Genesis,9,4,πλὴν κρέας ἐν αἵματι ψυχῆς οὐ φάγεσθε·,,,,
Genesis 9:5,GEN,Genesis,9,5,καὶ γὰρ τὸ ὑμέτερον αἷμα τῶν ψυχῶν ὑμῶν ἐκ χειρὸς πάντων τῶν θηρίων ἐκζητήσω αὐτὸ καὶ ἐκ χειρὸς ἀνθρώπου ἀδελφοῦ ἐκζητήσω τὴν ψυχὴν τοῦ ἀνθρώπου.,,,,
Genesis 9:6,GEN,Genesis,9,6,"ὁ ἐκχέων αἷμα ἀνθρώπου, ἀντὶ τοῦ αἵματος αὐτοῦ ἐκχυθήσεται, ὅτι ἐν εἰκόνι Θεοῦ ἐποίησα τὸν ἄνθρωπον.",,,,
Genesis 9:7,GEN,Genesis,9,7,"ὑμεῖς δὲ αὐξάνεσθε καὶ πληθύνεσθε καὶ πληρώσατε τὴν γῆν, καὶ κατακυριεύσατε αὐτῆς.",,,,
Genesis 9:8,GEN,Genesis,9,8,Καὶ εἶπεν ὁ Θεός τῷ Νῷε καὶ τοῖς υἱοῖς αὐτοῦ μετ᾿ αὐτοῦ λέγων·,,,,
Genesis 9:9,GEN,Genesis,9,9,καὶ ἰδοὺ ἐγὼ ἀνίστημι τὴν διαθήκην μου ὑμῖν καὶ τῷ σπέρματι ὑμῶν μεθ᾿ ὑμᾶς,,,,
Genesis 9:10,GEN,Genesis,9,10,"καὶ πάσῃ ψυχῇ ζώσῃ μεθ᾿ ὑμῶν, ἀπὸ ὀρνέων καὶ ἀπὸ κτηνῶν, καὶ πᾶσι τοῖς θηρίοις τῆς γῆς, ὅσα ἐστὶ μεθ᾿ ὑμῶν ἀπὸ πάντων τῶν ἐξελθόντων ἐκ τῆς κιβωτοῦ.",,,,
Genesis 9:11,GEN,Genesis,9,11,"καὶ στήσω τὴν διαθήκην μου πρὸς ὑμᾶς, καὶ οὐκ ἀποθανεῖται πᾶσα σὰρξ ἔτι ἀπὸ τοῦ ὕδατος τοῦ κατακλυσμοῦ, καὶ οὐκ ἔτι ἔσται κατακλυσμὸς ὕδατος τοῦ καταφθεῖραι πᾶσαν τὴν γῆν.",,,,
Genesis 9:12,GEN,Genesis,9,12,"καὶ εἶπε Κύριος ὁ Θεὸς πρὸς Νῶε· τοῦτο τὸ σημεῖον τῆς διαθήκης, ὃ ἐγὼ δίδωμι ἀνὰ μέσον ἐμοῦ καὶ ὑμῶν καὶ ἀνὰ μέσον πάσης ψυχῆς ζώσης, ἥ ἐστι μεθ᾿ ὑμῶν εἰς γενεὰς αἰωνίους·",,,,
Genesis 9:13,GEN,Genesis,9,13,"τὸ τόξον μου τίθημι ἐν τῇ νεφέλῃ, καὶ ἔσται εἰς σημεῖον διαθήκης ἀνὰ μέσον ἐμοῦ καὶ τῆς γῆς.",,,,
Genesis 9:14,GEN,Genesis,9,14,"καὶ ἔσται ἐν τῷ συννεφεῖν με νεφέλας ἐπὶ τὴν γῆν, ὀφθήσεται τὸ τόξον ἐν τῇ νεφέλῃ,",,,,
Genesis 9:15,GEN,Genesis,9,15,"καὶ μνησθήσομαι τῆς διαθήκης μου, ἥ ἐστιν ἀνὰ μέσον ἐμοῦ καὶ ὑμῶν, καὶ ἀνὰ μέσον πάσης ψυχῆς ζώσης ἐν πάσῃ σαρκί, καὶ οὐκ ἔσται ἔτι τὸ ὕδωρ εἰς κατακλυσμόν, ὥστε ἐξαλεῖψαι πᾶσαν σάρκα.",,,,
Genesis 9:16,GEN,Genesis,9,16,"καὶ ἔσται τὸ τόξον μου ἐν τῇ νεφέλῃ, καὶ ὄψομαι τοῦ μνησθῆναι διαθήκην αἰώνιον ἀνὰ μέσον ἐμοῦ καὶ τῆς γῆς καὶ ἀνὰ μέσον ψυχῆς ζώσης ἐν πᾶσι σαρκί, ἥ ἐστιν ἐπὶ τῆς γῆς.",,,,
Genesis 9:17,GEN,Genesis,9,17,"καὶ εἶπεν ὁ Θεὸς τῷ Νῶε· τοῦτο τὸ σημεῖον τῆς διαθήκης, ἧς διεθέμην ἀνὰ μέσον ἐμοῦ καὶ ἀνὰ μέσον πάσης σαρκός, ἥ ἐστιν ἐπὶ τῆς γῆς.",,,,
Genesis 9:18,GEN,Genesis,9,18,"῏Ησαν δὲ οἱ υἱοὶ Νῶε, οἱ ἐξελθόντες ἐκ τῆς κιβωτοῦ, Σήμ, Χάμ, ᾿Ιάφεθ· Χάμ δὲ ἦν πατὴρ Χαναάν.",,,,
Genesis 9:19,GEN,Genesis,9,19,τρεῖς οὗτοί εἰσιν υἱοὶ Νῶε· ἀπὸ τούτων διεσπάρησαν ἐπί πᾶσαν τὴν γῆν.,,,,
Genesis 9:20,GEN,Genesis,9,20,Καὶ ἤρξατο Νῶε ἄνθρωπος γεωργὸς γῆς καὶ ἐφύτευσεν ἀμπελῶνα.,,,,
Genesis 9:21,GEN,Genesis,9,21,καὶ ἔπιεν ἐκ τοῦ οἴνου καὶ ἐμεθύσθη καὶ ἐγυμνώθη ἐν τῷ οἴκῳ αὐτοῦ.,,,,
Genesis 9:22,GEN,Genesis,9,22,καὶ εἶδε Χὰμ ὁ πατὴρ Χαναὰν τὴν γύμνωσιν τοῦ πατρὸς αὐτοῦ καὶ ἐξελθὼν ἀνήγγειλε τοῖς δυσὶν ἀδελφοῖς αὐτοῦ ἔξω.,,,,
Genesis 9:23,GEN,Genesis,9,23,"καὶ λαβόντες Σὴμ καὶ ᾿Ιάφεθ τὸ ἱμάτιον ἐπέθεντο ἐπὶ τὰ δύο νῶτα αὐτῶν καὶ ἐπορεύθησαν ὀπισθοφανῶς καὶ συνεκάλυψαν τὴν γύμνωσιν τοῦ πατρὸς αὐτῶν, καὶ τὸ πρόσωπον αὐτῶν ὀπισθοφανῶς, καὶ τὴν γύμνωσιν τοῦ πατρὸς αὐτῶν οὐκ εἶδον.",,,,
Genesis 9:24,GEN,Genesis,9,24,"ἐξένηψε δὲ Νῶε ἀπὸ τοῦ οἴνου καὶ ἔγνω ὅσα ἐποίησεν αὐτῷ ὁ υἱὸς αὐτοῦ ὁ νεώτερος,",,,,
Genesis 9:25,GEN,Genesis,9,25,καὶ εἶπεν· ἐπικατάρατος Χαναάν· παῖς οἰκέτης ἔσται τοῖς ἀδελφοῖς αὐτοῦ.,,,,
Genesis 9:26,GEN,Genesis,9,26,"καὶ εἶπεν· εὐλογητὸς Κύριος ὁ Θεὸς τοῦ Σήμ, καὶ ἔσται Χαναὰν παῖς οἰκέτης αὐτοῦ.",,,,
Genesis 9:27,GEN,Genesis,9,27,"πλατύναι ὁ Θεὸς τῷ ᾿Ιάφεθ, καὶ κατοικησάτω ἐν τοῖς οἴκοις τοῦ Σὴμ καὶ γενηθήτω Χαναὰν παῖς αὐτοῦ.",,,,
Genesis 9:28,GEN,Genesis,9,28,῎Εζησε δὲ Νῶε μετὰ τὸν κατακλυσμὸν ἔτη τριακόσια πεντήκοντα.,,,,
Genesis 9:29,GEN,Genesis,9,29,"καὶ ἐγένοντο πᾶσαι αἱ ἡμέραι Νῶε ἐννακόσια πεντήκοντα ἔτη, καὶ ἀπέθανεν.",,,,
Genesis 10:1,GEN,Genesis,10,1,"ΑΥΤΑΙ δὲ αἱ γενέσεις τῶν υἱῶν Νῶε, Σήμ, Χάμ, ᾿Ιάφεθ, καὶ ἐγεννήθησαν αὐτοῖς υἱοὶ μετὰ τὸν κατακλυσμόν.",,,,
Genesis 10:2,GEN,Genesis,10,2,Υἱοὶ ᾿Ιάφεθ· Γαμὲρ καὶ Μαγὼγ καὶ Μαδοὶ καὶ ᾿Ιωύαν καὶ ᾿Ελισὰ καὶ Θοβὲλ καὶ Μοσόχ καὶ Θείρας.,,,,
Genesis 10:3,GEN,Genesis,10,3,καὶ υἱοὶ Γαμέρ· ᾿Ασχανὰζ καὶ Ριφὰθ καὶ Θοργαμά.,,,,
Genesis 10:4,GEN,Genesis,10,4,"καὶ υἱοὶ ᾿Ιωύαν· ᾿Ελισὰ καὶ Θάρσεις, Κίτιοι, Ρόδιοι.",,,,
Genesis 10:5,GEN,Genesis,10,5,"ἐκ τούτων ἀφωρίσθησαν νῆσοι τῶν ἐθνῶν ἐν τῇ γῇ αὐτῶν, ἕκαστος κατὰ γλῶσσαν ἐν ταῖς φυλαῖς αὐτῶν καὶ ἐν τοῖς ἔθνεσιν αὐτῶν.",,,,
Genesis 10:6,GEN,Genesis,10,6,Υἱοὶ δὲ Χάμ· Χοὺς καὶ Μερσαΐν Φοὺδ καὶ Χαναάν.,,,,
Genesis 10:7,GEN,Genesis,10,7,υἱοὶ δὲ Χούς· Σαβὰ καὶ Εὐϊλὰ καὶ Σαβαθὰ καὶ Ρεγμὰ καὶ Σαβαθακά. υἱοὶ δὲ Ρεγμά· Σαβὰ καὶ Δαδάν.,,,,
Genesis 10:8,GEN,Genesis,10,8,Χοὺς δὲ ἐγέννησε τὸν Νεβρώδ. οὗτος ἤρξατο εἶναι γίγας ἐπὶ τῆς γῆς·,,,,
Genesis 10:9,GEN,Genesis,10,9,"οὗτος ἦν γίγας κυνηγὸς ἐναντίον Κυρίου τοῦ Θεοῦ· διὰ τοῦτο ἐροῦσιν, ὡς Νεβρὼδ γίγας κυνηγὸς ἐναντίον Κυρίου.",,,,
Genesis 10:10,GEN,Genesis,10,10,καὶ ἐγένετο ἀρχὴ τῆς βασιλείας αὐτοῦ Βαβυλὼν καὶ ᾿Ορὲχ καὶ ᾿Αρχὰδ καὶ Χαλάννη ἐν τῇ γῇ Σεναάρ.,,,,
Genesis 10:11,GEN,Genesis,10,11,ἐκ τῆς γῆς ἐκείνης ἐξῆλθεν ᾿Ασσοὺρ καὶ ᾠκοδόμησε τὴν Νινευΐ καὶ τὴν Ροωβὼθ πόλιν καὶ τὴν Χαλὰχ,,,,
Genesis 10:12,GEN,Genesis,10,12,καὶ τὴν Δασὴ ἀνὰ μέσον Νινευΐ καὶ ἀνὰ μέσο Χαλάχ· αὕτη ἡ πόλις μεγάλη.,,,,
Genesis 10:13,GEN,Genesis,10,13,καὶ Μεσραΐν ἐγέννησε τοὺς Λουδιεὶμ καὶ τοὺς ᾿Ενεμετιεὶμ καὶ τοὺς Λαβιεὶμ καὶ τοὺς Νεφθαλιεὶμ καὶ τοὺς Πατροσωνιεὶμ,,,,
Genesis 10:14,GEN,Genesis,10,14,"καὶ τοὺς Χασλωνιείμ, ὅθεν ἐξῆλθε Φυλιστιείμ, καὶ τοὺς Καφθοριείμ.",,,,
Genesis 10:15,GEN,Genesis,10,15,Χαναὰν δὲ ἐγέννησε τὸν Σιδῶνα πρωτότοκον αὐτοῦ,,,,
Genesis 10:16,GEN,Genesis,10,16,καὶ τὸν Χετταῖον καὶ τὸν ᾿Ιεβουσαῖον καὶ τὸν ᾿Αμορραῖον καὶ τὸν Γεργεσαῖον καὶ τὸν Εὐαῖον καὶ τὸν ᾿Αρουκαῖον,,,,
Genesis 10:17,GEN,Genesis,10,17,καὶ τὸν ᾿Ασενναῖον καὶ τὸν ᾿Αράδιον καὶ τὸν Σαμαραῖον καὶ τὸν ᾿Αμαθί.,,,,
Genesis 10:18,GEN,Genesis,10,18,"καὶ μετὰ τοῦτο διεσπάρησαν αἱ φυλαὶ τῶν Χαναναίων,",,,,
Genesis 10:19,GEN,Genesis,10,19,"καὶ ἐγένετο τὰ ὅραι τῶν Χαναναίων ἀπὸ Σιδῶνος ἕως ἐλθεῖν εἰς Γεραρὰ καὶ Γαζάν, ἕως ἐλθεῖν ἕως Σοδόμων καὶ Γομόρρας, ᾿Αδαμὰ καὶ Σεβωΐμ ἕως Δασά.",,,,
Genesis 10:20,GEN,Genesis,10,20,"οὗτοι υἱοὶ Χάμ, ἐν ταῖς φυλαῖς αὐτῶν, κατὰ γλώσσας αὐτῶν, ἐν ταῖς χώραις αὐτῶν καὶ ἐν τοῖς ἔθνεσιν αὐτῶν.",,,,
Genesis 10:21,GEN,Genesis,10,21,"Καὶ τῷ Σὴμ ἐγεννήθη καὶ αὐτῷ, πατρὶ πάντων τῶν υἱῶν ῞Εβερ, ἀδελφῷ ᾿Ιάφεθ τοῦ μείζονος.",,,,
Genesis 10:22,GEN,Genesis,10,22,υἱοὶ Σήμ· ᾿Ελὰμ καὶ ᾿Ασσοὺρ καὶ ᾿Αρφαξὰδ καὶ Λοὺδ καὶ ᾿Αρὰμ καὶ Καϊνᾶν.,,,,
Genesis 10:23,GEN,Genesis,10,23,καὶ υἱοὶ ᾿Αράμ· Οὒζ καί Οὒλ καὶ Γατὲρ καὶ Μοσόχ.,,,,
Genesis 10:24,GEN,Genesis,10,24,"καὶ ᾿Αρφαξὰδ ἐγέννησε τὸν Καϊνᾶν, καὶ Καϊνᾶν ἐγέννησε τὸν Σαλά, Σαλὰ δὲ ἐγέννησε τὸν ῞Εβερ.",,,,
Genesis 10:25,GEN,Genesis,10,25,"καὶ τῷ ῞Εβερ ἐγεννήθησαν δύο υἱοί· ὄνομα τῷ ἑνὶ Φαλέγ, ὅτι ἐν ταῖς ἡμέραις αὐτοῦ διεμερίσθη ἡ γῆ, καὶ ὄνομα τῷ ἀδελφῷ αὐτοῦ ᾿Ιεκτάν.",,,,
Genesis 10:26,GEN,Genesis,10,26,᾿Ιεκτὰν δὲ ἐγέννησε τὸν ᾿Ελμωδὰδ καὶ Σαλὲθ καὶ τὸν Σαρμὼθ καὶ ᾿Ιαρὰχ καὶ ῾Οδορρὰ καὶ Αἰβὴλ καὶ Δεκλὰ,,,,
Genesis 10:27,GEN,Genesis,10,27,καὶ Εὐὰλ καὶ ᾿Αβιμαὲλ καὶ Σαβὰ,,,,
Genesis 10:28,GEN,Genesis,10,28,καὶ Οὐφεὶρ καὶ Εὐειλὰ καὶ ᾿Ιωβάβ.,,,,
Genesis 10:29,GEN,Genesis,10,29,πάντες οὗτοι υἱοὶ ᾿Ιεκτάν.,,,,
Genesis 10:30,GEN,Genesis,10,30,"καὶ ἐγένετο ἡ κατοίκησις αὐτῶν ἀπὸ Μασσῆ ἕως ἐλθεῖν εἰς Σαφηρά, ὄρος ἀνατολῶν.",,,,
Genesis 10:31,GEN,Genesis,10,31,"οὗτοι υἱοὶ Σήμ, ἐν ταῖς φυλαῖς αὐτῶν, κατὰ γλώσσας αὐτῶν, ἐν ταῖς χώραις αὐτῶν καὶ ἐν τοῖς ἔθνεσιν αὐτῶν.",,,,
Genesis 10:32,GEN,Genesis,10,32,"Αὗται αἱ φυλαὶ υἱῶν Νῶε κατὰ γενέσεις αὐτῶν, κατὰ ἔθνη αὐτῶν· ἀπὸ τούτων διεσπάρησαν νῆσοι τῶν ἐθνῶν ἐπὶ τῆς γῆς μετὰ τὸν κατακλυσμόν.",,,,
Genesis 11:1,GEN,Genesis,11,1,"ΚΑΙ ἦν πᾶσα ἡ γῆ χεῖλος ἕν, καὶ φωνὴ μία πᾶσι.",,,,
Genesis 11:2,GEN,Genesis,11,2,"καὶ ἐγένετο ἐν τῷ κινῆσαι αὐτοὺς ἀπὸ ἀνατολῶν, εὗρον πεδίον ἐν γῇ Σενναὰρ καὶ κατῴκησαν ἐκεῖ.",,,,
Genesis 11:3,GEN,Genesis,11,3,"καὶ εἶπεν ἄνθρωπος τῷ πλησίον αὐτοῦ· δεῦτε πλινθεύσωμεν πλίνθους καὶ ὀπτήσωμεν αὐτὰς πυρί. καὶ ἐγένετο αὐτοῖς ἡ πλίνθος εἰς λίθον, καὶ ἄσφαλτος ἦν αὐτοῖς ὁ πηλός.",,,,
Genesis 11:4,GEN,Genesis,11,4,"καὶ εἶπαν· δεῦτε οἰκοδομήσωμεν ἑαυτοῖς πόλιν καὶ πύργον, οὗ ἔσται ἡ κεφαλὴ ἕως τοῦ οὐρανοῦ, καὶ ποιήσωμεν ἑαυτοῖς ὄνομα πρὸ τοῦ διασπαρῆναι ἡμᾶς ἐπὶ προσώπου πάσης τῆς γῆς.",,,,
Genesis 11:5,GEN,Genesis,11,5,"καὶ κατέβη Κύριος ἰδεῖν τὴν πόλιν καὶ τὸν πύργον, ὃν ᾠκοδόμησαν οἱ υἱοὶ τῶν ἀνθρώπων.",,,,
Genesis 11:6,GEN,Genesis,11,6,"καὶ εἶπε Κύριος· ἰδοὺ γένος ἓν καὶ χεῖλος ἓν πάντων, καὶ τοῦτο ἤρξαντο ποιῆσαι, καὶ νῦν οὐκ ἐκλείψει ἀπ᾿ αὐτῶν πάντα, ὅσα ἂν ἐπιθῶνται ποιεῖν.",,,,
Genesis 11:7,GEN,Genesis,11,7,"δεῦτε καὶ καταβάντες συγχέωμεν αὐτῶν ἐκεῖ τὴν γλῶσσαν, ἵνα μὴ ἀκούσωσιν ἕκαστος τὴν φωνὴν τοῦ πλησίον.",,,,
Genesis 11:8,GEN,Genesis,11,8,"καὶ διέσπειρεν αὐτοὺς Κύριος ἐκεῖθεν ἐπὶ πρόσωπον πάσης τῆς γῆς, καὶ ἐπαύσαντο οἰκοδομοῦντες τὴν πόλιν καὶ τὸν πύργον.",,,,
Genesis 11:9,GEN,Genesis,11,9,"διὰ τοῦτο ἐκλήθη τὸ ὄνομα αὐτῆς Σύγχυσις, ὅτι ἐκεῖ συνέχεε Κύριος τὰ χείλη πάσης τῆς γῆς, καὶ ἐκεῖθεν διέσπειρεν αὐτοὺς Κύριος ἐπὶ πρόσωπον πάσης τῆς γῆς.",,,,
Genesis 11:10,GEN,Genesis,11,10,"Καὶ αὗται αἱ γενέσεις Σήμ. καί ἦν Σὴμ υἱὸς ἑκατὸν ἐτῶν, ὅτε ἐγέννησε τὸν ᾿Αρφαξάδ, δευτέρου ἔτους μετὰ τὸν κατακλυσμόν.",,,,
Genesis 11:11,GEN,Genesis,11,11,καὶ ἔζησε Σὴμ μετὰ τὸ γεννῆσαι αὐτὸν τὸν ᾿Αρφαξὰδ ἔτη πεντακόσια καὶ ἐγέννησεν υἱοὺς καὶ θυγατέρας καὶ ἀπέθανε.,,,,
Genesis 11:12,GEN,Genesis,11,12,Καὶ ἔζησεν ᾿Αρφαξὰδ ἑκατὸν τριάκοντα πέντε ἔτη καὶ ἐγέννησε τὸν Καϊνᾶν.,,,,
