“language”,“lemma”,“transliteration”,“meaning”,“english_renderings”,“first_reference”,“footnote”
“Greek”,“χρηστότης”,“chrēstotēs”,“kindness; goodness”,“kindness”,“Psalm 24:7”,“A term for goodness, kindness, or benevolence.”
“Greek”,“ἀγαθωσύνη”,“agathōsynē”,“goodness”,“goodness”,“Romans 15:14”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ἐγκράτεια”,“enkrateia”,“self-control”,“temperance”,“Acts 24:25”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“σωφροσύνη”,“sōphrosynē”,“soundness of mind; sobriety”,“soberness”,“Acts 26:25”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ἁγιωσύνη”,“hagiōsynē”,“holiness”,“holiness”,“Psalm 29:2”,“A holiness term emphasizing sacred quality.”
“Greek”,“ἁγιασμός”,“hagiasmos”,“sanctification; holiness”,“sanctification”,“Leviticus 21:8”,“Denotes consecration and holy setting apart.”
“Greek”,“ἐλευθερία”,“eleutheria”,“freedom; liberty”,“liberty”,“Leviticus 19:20”,“A term for freedom or liberty.”
“Greek”,“δουλεία”,“douleia”,“slavery; bondage”,“bondage”,“Genesis 15:13”,“The abstract noun for slavery or servitude.”
“Greek”,“εἰκών”,“eikōn”,“image; likeness”,“image”,“Genesis 1:26”,“An important term for image, representation, or likeness.”
“Greek”,“μορφή”,“morphē”,“form; outward shape”,“form”,“Mark 16:12”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“πλήρωμα”,“plērōma”,“fullness; totality”,“fulness”,“Deuteronomy 33:16”,“A term for fullness or that which fills.”
“Greek”,“μυστήριον”,“mystērion”,“mystery; secret”,“mystery”,“Matthew 13:11”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ἀποκάλυψις”,“apokalypsis”,“revelation; unveiling”,“revelation”,“Luke 2:32”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“παρρησία”,“parrēsia”,“boldness; openness”,“boldness”,“John 7:13”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“γνῶσις”,“gnōsis”,“knowledge”,“knowledge”,“Genesis 2:9”,“A general term for knowledge, morally shaped by context.”
“Greek”,“ἐπίγνωσις”,“epignōsis”,“full knowledge; recognition”,“knowledge”,“Proverbs 2:5”,“Often denotes fuller or more exact knowledge.”
“Greek”,“φρόνημα”,“phronēma”,“mindset; way of thinking”,“mind”,“Romans 8:6”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“βουλή”,“boulē”,“counsel; purpose”,“counsel”,“Exodus 18:19”,“A term for plan, counsel, or resolve.”
“Greek”,“πρόγνωσις”,“prognōsis”,“foreknowledge”,“foreknowledge”,“Acts 2:23”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“πρόθεσις”,“prothesis”,“purpose; setting forth”,“purpose”,“Exodus 40:23”,“Can denote purpose or the setting forth of bread.”
“Greek”,“κλῆσις”,“klēsis”,“calling”,“calling”,“1 Corinthians 1:26”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ἐκλογή”,“eklogē”,“choice; election”,“election”,“Romans 9:11”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“προσωπολημψία”,“prosōpolēmpsia”,“partiality; favoritism”,“respect of persons”,“Romans 2:11”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ματαιότης”,“mataiotēs”,“vanity; futility”,“vanity”,“Ecclesiastes 1:2”,“A major wisdom term for futility or emptiness.”
“Greek”,“κτίσις”,“ktisis”,“creation; creature”,“creature; creation”,“Mark 10:6”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“κτίσμα”,“ktisma”,“created thing; creature”,“creature”,“1 Timothy 4:4”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“πνοή”,“pnoē”,“breath; blowing”,“breath”,“Genesis 2:7”,“A term for breath or blowing, distinct from but related to πνεῦμα.”
“Greek”,“ἀνάμνησις”,“anamnesis”,“remembrance; memorial”,“remembrance”,“Numbers 10:10”,“A memorial or recollective remembrance.”
“Greek”,“σφραγίς”,“sphragis”,“seal”,“seal”,“1 Kings 21:8”,“A seal as mark, authentication, or closure.”
“Greek”,“γράμμα”,“gramma”,“letter; writing”,“letter”,“Exodus 32:16”,“Can mean a written character or written document.”
“Greek”,“γραφή”,“graphē”,“writing; Scripture”,“scripture; writing”,“2 Chronicles 35:4”,“In the New Testament often a technical term for Scripture.”
“Greek”,“κεραία”,“keraia”,“small stroke; little horn”,“tittle”,“Matthew 5:18”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“φωνή”,“phōnē”,“voice; sound”,“voice”,“Genesis 3:8”,“A common biblical term for voice, sound, or utterance.”
“Greek”,“ῥῆμα”,“rhēma”,“word; saying; utterance”,“word; saying”,“Genesis 18:14”,“Often denotes a spoken word or specific utterance.”
“Greek”,“γῆρας”,“gēras”,“old age”,“old age”,“Genesis 15:15”,“A term for old age or advanced years.”
“Greek”,“ἰσχύς”,“ischys”,“strength; force”,“strength”,“Deuteronomy 6:5”,“A term for strength, might, or force.”
“Greek”,“ἀσθένεια”,“astheneia”,“weakness; infirmity”,“infirmity; weakness”,“Psalm 6:3”,“Used for bodily weakness or broader incapacity.”
“Greek”,“ἴασις”,“iasis”,“healing; cure”,“healing”,“Jeremiah 8:15”,“A noun for healing or remedy.”
“Greek”,“θεραπεία”,“therapeia”,“service; healing”,“healing”,“Matthew 4:23”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“νόσος”,“nosos”,“disease”,“disease”,“Deuteronomy 7:15”,“A general term for sickness or disease.”
“Greek”,“πτωχός”,“ptōchos”,“poor; destitute”,“poor”,“Exodus 23:3”,“A major social-ethical term for the poor.”
“Greek”,“πλοῦτος”,“ploutos”,“riches; wealth”,“riches”,“Genesis 31:16”,“Denotes wealth or abundance.”
“Greek”,“πλούσιος”,“plousios”,“rich; wealthy”,“rich”,“Exodus 30:15”,“The adjective for wealthy or rich.”
“Greek”,“τάλαντον”,“talanton”,“talent; weight”,“talent”,“Exodus 25:39”,“A weight measure later also used in parabolic narrative.”
“Greek”,“δραχμή”,“drachmē”,“drachma”,“piece of silver”,“Genesis 24:22”,“A coin or weight term.”
“Greek”,“λεπτόν”,“lepton”,“small coin”,“mite”,“Mark 12:42”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ἱλασμός”,“hilasmos”,“propitiation; atoning means”,“propitiation”,“1 John 2:2”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ἱλαστήριον”,“hilastērion”,“place or means of propitiation”,“propitiation”,“Exodus 25:17”,“In the Greek Bible commonly the mercy seat; in the New Testament a major atonement term.”
“Greek”,“λύτρον”,“lytron”,“ransom price”,“ransom”,“Exodus 21:30”,“A redemption term for ransom price.”
“Greek”,“δικαιόω”,“dikaioō”,“to justify; declare righteous”,“justify”,“Genesis 38:26”,“A crucial judicial and theological verb represented by its lexical form.”
“Greek”,“σῴζω”,“sōzō”,“to save; rescue”,“save”,“Genesis 19:19”,“A central salvation verb represented by its lexical form.”
“Greek”,“ἀγαπάω”,“agapaō”,“to love”,“love”,“Genesis 22:2”,“A foundational verb for love, represented by its lexical form.”
“Greek”,“πιστεύω”,“pisteuō”,“to believe; trust”,“believe”,“Genesis 15:6”,“A central faith verb represented by its lexical form.”
“Greek”,“μετανοέω”,“metanoeō”,“to repent; change one’s mind”,“repent”,“Matthew 3:2”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“δοξάζω”,“doxazō”,“to glorify; honor”,“glorify”,“Exodus 14:4”,“A verb for giving glory or being glorified.”
“Greek”,“εὐλογέω”,“eulogeō”,“to bless; speak well of”,“bless”,“Genesis 1:22”,“A foundational blessing verb represented by its lexical form.”
“Greek”,“καταράομαι”,“kataraomai”,“to curse”,“curse”,“Genesis 12:3”,“A verb of invoking or placing a curse.”
“Greek”,“λατρεία”,“latreia”,“service; worship”,“service; worship”,“Exodus 12:25”,“A term for sacred service or worship.”
“Greek”,“προσκυνέω”,“proskyneō”,“to worship; bow down”,“worship”,“Genesis 18:2”,“The standard biblical verb for bowing down or worshiping.”
“Greek”,“λειτουργία”,“leitourgia”,“service; ministry”,“service; ministry”,“Exodus 28:35”,“A public or sacred service term.”
“Greek”,“λειτουργός”,“leitourgos”,“minister; servant”,“minister”,“Exodus 28:35”,“One who performs public or sacred service.”
“Greek”,“ἱλαρός”,“hilaros”,“cheerful; willing”,“cheerful”,“2 Corinthians 9:7”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“σπουδή”,“spoudē”,“diligence; zeal; earnestness”,“diligence”,“Joshua 22:5”,“A term for earnest effort or zeal.”
“Greek”,“σκανδαλίζω”,“skandalizō”,“to cause to stumble; offend”,“offend”,“Leviticus 19:14”,“Represented here by its lexical form; tied to causing spiritual or moral stumbling.”
“Greek”,“πλανάω”,“planaō”,“to lead astray; wander”,“err”,“Genesis 21:14”,“A common biblical verb of wandering or deception.”
“Greek”,“παρακούω”,“parakouō”,“to disregard; fail to hear”,“neglect to hear”,“Deuteronomy 1:43”,“A disobedience term meaning to refuse or fail to listen.”
“Greek”,“ὑπακοή”,“hypakoē”,“obedience”,“obedience”,“Genesis 22:18”,“A noun for hearing under, hence obedience.”
“Greek”,“παράδοσις”,“paradosis”,“tradition; handing over”,“tradition”,“Matthew 15:2”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ζημία”,“zēmia”,“loss; damage”,“loss”,“Exodus 21:22”,“A term for forfeiture, damage, or loss.”
“Greek”,“κέρδος”,“kerdos”,“gain; profit”,“gain”,“Job 22:3”,“A term for gain or advantage.”
“Greek”,“ὠφέλεια”,“ōpheleia”,“benefit; profit”,“profit”,“Romans 3:1”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“μαρτύριον”,“martyrion”,“testimony; witness”,“testimony”,“Genesis 21:30”,“Closely related to μαρτυρία, often referring to the thing testified.”
“Greek”,“σοφός”,“sophos”,“wise”,“wise”,“Genesis 41:33”,“The adjective for wise or skillful.”
“Greek”,“μωρός”,“mōros”,“foolish”,“foolish”,“Deuteronomy 32:6”,“The adjective for foolish, dull, or senseless.”
“Greek”,“ἅγιος”,“hagios”,“holy”,“holy; saint”,“Exodus 3:5”,“A major holiness term for what is set apart to God.”
“Greek”,“βέβηλος”,“bebēlos”,“profane; common”,“profane”,“Leviticus 10:10”,“Contrasts with what is holy.”
“Greek”,“καθαρός”,“katharos”,“clean; pure”,“clean; pure”,“Genesis 7:2”,“Ceremonially and morally important in biblical usage.”
“Greek”,“ἀκάθαρτος”,“akathartos”,“unclean; impure”,“unclean”,“Genesis 7:2”,“The opposite of clean, used in ceremonial and moral contexts.”
“Greek”,“τέλειος”,“teleios”,“perfect; mature; complete”,“perfect”,“Genesis 6:9”,“Can mean complete, mature, or blameless.”
“Greek”,“πλήρης”,“plērēs”,“full”,“full”,“Genesis 6:13”,“A common adjective for fullness or completeness.”
“Greek”,“κοινός”,“koinos”,“common; unclean”,“common; unclean”,“Leviticus 10:10”,“Can denote what is common, ordinary, or ceremonially defiled in context.”
“Greek”,“ζῷον”,“zōion”,“living creature; animal”,“beast; living creature”,“Genesis 1:24”,“A broad term for living creature, especially in Revelation and the Greek Old Testament.”
“Greek”,“θηρίον”,“thērion”,“wild beast; beast”,“beast”,“Genesis 1:24”,“Usually denotes a wild animal or beast.”
“Greek”,“ὄφις”,“ophis”,“serpent”,“serpent”,“Genesis 3:1”,“The ordinary Greek term for serpent.”
“Greek”,“ἀρνίον”,“arnion”,“lamb”,“lamb”,“John 21:15”,“This lemma is not attested in the canonical Greek Old Testament.”
“Greek”,“ἀμνός”,“amnos”,“lamb”,“lamb”,“Genesis 22:7”,“A sacrificial lamb term of major theological importance.”
“Greek”,“μόσχος”,“moschos”,“calf”,“calf”,“Genesis 18:7”,“A common sacrificial and pastoral term.”
“Greek”,“τράγος”,“tragos”,“goat”,“goat”,“Genesis 27:9”,“A standard term for goat, often in sacrificial contexts.”
“Greek”,“βοῦς”,“bous”,“ox; cow”,“ox”,“Genesis 12:16”,“Used for ox, cow, or cattle.”
“Greek”,“ὄνος”,“onos”,“donkey; ass”,“ass; donkey”,“Genesis 12:16”,“A common domestic-animal term.”
