ref,book_name,chapter,verse,fresh_translation,brenton_translation,same_normalized,decision_count,footnote_count,importance
Exodus 8:13,Exodus,8,13,"So Aaron stretched out his hand with the staff and struck the dust of the earth, and the gnats came on human beings and on the four-footed animals, and in all the dust of the earth there were gnats in all the land of Egypt.","So Aaron stretched out his rod with his hand, and smote the dust of the earth; and the lice were on men and on quadrupeds, and in all the dust of the earth there were lice.",no,0,0,medium
Exodus 8:14,Exodus,8,14,"And the enchanters did likewise with their sorceries, trying to bring out the gnat, and they were not able, and the gnats were on the human beings and on the four-footed animals.","And the charmers also did so with their sorceries, to bring forth the louse, and they could not. And the lice were both on the men and on the quadrupeds.",no,0,0,medium
Exodus 8:15,Exodus,8,15,"Then the enchanters said to Pharaoh, This is the finger of God. And Pharaoh's heart was hardened, and he did not listen to them, just as the Lord had spoken.","So the charmers said to Pharao, This is the finger of God. But the heart of Pharao was hardened, and he hearkened not to them, as the Lord said.",no,0,0,low
Exodus 8:16,Exodus,8,16,"And the Lord said to Moses, Rise early in the morning and stand before Pharaoh, and look, he goes out to the water, and you shall say to him, These things says the Lord: Send out my people so that they may serve me in the wilderness.","And the Lord said to Moses, Rise up early in the morning, and stand before Pharao: and, behold, he will go forth to the water, and thou shalt say to him, These things says the Lord: Send away my people, that they may serve me in the wilderness.",no,0,0,low
Exodus 8:17,Exodus,8,17,"But if you do not want to send out my people, look, I send upon you and upon your servants and upon your people and upon your houses the dog-fly, and the houses of the Egyptians will be filled with the dog-fly, and even the land on which they are.","And if thou wilt not let my people go, behold, I send upon thee, and upon thy servants, and upon thy people, and upon your houses, the dog-fly; and the houses of the Egyptians shall be filled with the dog-fly, even throughout the land upon which they are.",no,1,1,high
Exodus 8:18,Exodus,8,18,"And I will distinguish wondrously on that day the land of Goshen, on which my people dwell, where the dog-fly will not be there, so that you may know that I am the Lord, the Lord of all the earth.","And I will distinguish marvellously in that day the land of Gesem, on which my people dwell, in which the dog-fly shall not be: that thou mayest know that I am the Lord the God of all the earth.",no,1,1,high
Exodus 8:19,Exodus,8,19,And I will put a distinction between my people and between your people. Tomorrow this sign will be upon the land.,"And I will put a difference between my people and thy people, and on the morrow shall this be on the land. And the Lord did thus.",no,1,1,high
Exodus 8:20,Exodus,8,20,"And the Lord did so, and the dog-fly came in abundance into the houses of Pharaoh and into the houses of his servants and into all the land of Egypt, and the land was ruined by the dog-fly.","And the dog-fly came in abundance into the houses of Pharao, and into the houses of his servants, and into all the land of Egypt; and the land was destroyed by the dog-fly.",no,0,0,low
Exodus 8:21,Exodus,8,21,"Then Pharaoh called Moses and Aaron, saying, Go, sacrifice to your God in the land.","And Pharao called Moses and Aaron, saying, Go and sacrifice to the Lord your God in the land.",no,0,0,low
Exodus 8:22,Exodus,8,22,"And Moses said, It cannot happen this way, for we shall sacrifice to the Lord our God the abominations of the Egyptians; for if we sacrifice the abominations of the Egyptians before them, we shall be stoned.","And Moses said, It cannot be so, for we shall sacrifice to the Lord our God the abominations of the Egyptians; for if we sacrifice the abominations of the Egyptians before them, we shall be stoned.",no,1,1,high
Exodus 8:23,Exodus,8,23,"We will go a journey of three days into the wilderness, and we will sacrifice to the Lord our God, just as he said to us.","We will go a journey of three days into the wilderness, and we will sacrifice to the Lord our God, as the Lord said to us.",no,0,0,low
Exodus 8:24,Exodus,8,24,"And Pharaoh said, I send you out, and sacrifice to the Lord your God in the wilderness, only do not cut it too far to go. Pray then concerning me to the Lord.","And Pharao said, I will let you go, and do ye sacrifice to your God in the wilderness, but do not go very far away: pray then for me to the Lord.",no,0,0,low
Exodus 8:25,Exodus,8,25,"And Moses said, Look, I am going out from you, and I will pray to God, and the dog-fly will depart from you and from your servants and your people tomorrow. Only do not add again, Pharaoh, to deceive by not sending out the people to sacrifice to the Lord.","And Moses said, I then will go forth from thee and pray to God, and the dog-fly shall depart both from thy servants, and from thy people to-morrow. Do not thou, Pharao, deceive again, so as not to send the people away to do sacrifice to the Lord.",no,0,0,low
Exodus 8:26,Exodus,8,26,And Moses went out from Pharaoh and prayed to God.,"And Moses went out from Pharao, and prayed to God.",no,0,0,low
Exodus 8:27,Exodus,8,27,"And the Lord did just as Moses said, and he removed the dog-fly from Pharaoh and his servants and his people, and not one was left.","And the Lord did as Moses said, and removed the dog-fly from Pharao, and from his servants, and from his people, and there was not one left.",no,0,0,low
Exodus 8:28,Exodus,8,28,"And Pharaoh made his heart heavy also at this time, and he did not want to send out the people.","And Pharao hardened his heart, even on this occasion, and he would not send the people away.",no,0,0,low
Exodus 9:1,Exodus,9,1,"And the Lord said to Moses, Go in to Pharaoh, and you shall say to him, These things says the Lord, the God of the Hebrews: Send out my people so that they may serve me.","And the Lord said to Moses, Go in to Pharao, and thou shalt say to him, These things saith the Lord God of the Hebrews; Send my people away that they may serve me.",no,0,0,low
Exodus 9:2,Exodus,9,2,"If, however, you do not want to send out my people, but still hold them back,","If however thou wilt not send my people away, but yet detainest them:",no,0,0,low
Exodus 9:3,Exodus,9,3,"look, the hand of the Lord will come upon your livestock in the fields, both on the horses and on the beasts of burden and the camels and oxen and sheep, a very great death.","behold, the hand of the Lord shall be upon thy cattle in the fields, both on the horses, and on the asses, and on the camels and oxen and sheep, a very great mortality.",no,0,0,low
Exodus 9:4,Exodus,9,4,And I will make a wondrous distinction at that time between the livestock of the Egyptians and the livestock of the sons of Israel; not one thing from all that belongs to the sons of Israel shall die.,"And I will make a marvellous distinction in that time between the cattle of the Egyptians, and the cattle of the children of Israel: nothing shall die of all that is of the children's of Israel.",no,1,1,high
Exodus 9:5,Exodus,9,5,"And God set a limit, saying, Tomorrow the Lord will do this thing on the land.","And God fixed a limit, saying, To-morrow the Lord will do this thing on the land.",no,0,0,low
Exodus 9:6,Exodus,9,6,"And the Lord did this thing on the next day, and all the livestock of the Egyptians died, but from the livestock of the sons of Israel not one died.","And the Lord did this thing on the next day, and all the cattle of the Egyptians died, but of the cattle of the children of Israel there died not one.",no,0,0,low
Exodus 9:7,Exodus,9,7,"And Pharaoh, seeing that not one had died from all the livestock of the sons of Israel, made Pharaoh's heart heavy, and he did not send out the people.","And when Pharao saw, that of all the cattle of the children of Israel there died not one, the heart of Pharao was hardened, and he did not let the people go.",no,0,0,low
Exodus 9:8,Exodus,9,8,"And the Lord said to Moses and Aaron, saying, Take for yourselves full handfuls of furnace soot, and let Moses scatter it into the sky before Pharaoh and before his servants.","And the Lord spoke to Moses and Aaron, saying, Take you handfuls of ashes of the furnace, and let Moses scatter it toward heaven before Pharao, and before his servants.",no,0,0,low
Exodus 9:9,Exodus,9,9,"And let it become dust over all the land of Egypt, and it will be on the human beings and on the four-footed animals sores with blisters boiling up in all the land of Egypt.","And let it become dust over all the land of Egypt, and there shall be upon men and upon beasts sore blains breaking forth both on men and on beasts, in all the land of Egypt.",no,1,1,high
Exodus 9:10,Exodus,9,10,"So they took the furnace soot before Pharaoh, and Moses scattered it into the sky, and it became sores with blisters boiling up on the human beings and on the four-footed animals.","So he took of the ashes of the furnace before Pharao, and Moses scattered it toward heaven, and it became sore blains breaking forth both on men and on beasts.",no,0,0,medium
Exodus 9:11,Exodus,9,11,"And the sorcerers were not able to stand before Moses because of the sores, for the sores came on the sorcerers and in all the land of Egypt.","And the sorcerers could not stand before Moses because of the sores, for the sores were on the sorcerers, and in all the land of Egypt.",no,0,0,low
Exodus 9:12,Exodus,9,12,"And the Lord hardened Pharaoh's heart, and he did not listen to them, just as the Lord had commanded.","And the Lord hardened Pharao's heart, and he hearkened not to them, as the Lord appointed.",no,0,0,medium
Exodus 9:13,Exodus,9,13,"And the Lord said to Moses, Rise early in the morning and stand before Pharaoh, and you shall say to him, These things says the Lord, the God of the Hebrews: Send out my people so that they may serve me.","And the Lord said to Moses, Rise up early in the morning, and stand before Pharao; and thou shalt say to him, These things saith the Lord God of the Hebrews, Send away my people that they may serve me.",no,0,0,low
Exodus 9:14,Exodus,9,14,"For at this present time I send all my blows into your heart and into the heart of your servants and your people, so that you may know that there is no other like me in all the earth.","For at this present time do I send forth all my plagues into thine heart, and the heart of thy servants and of thy people; that thou mayest know that there is not another such as I in all the earth.",no,1,1,high
Exodus 9:15,Exodus,9,15,"For now, sending out my hand, I will strike you and your people with death, and you will be wiped off from the earth.","For now I will stretch forth my hand and smite thee and kill thy people, and thou shalt be consumed from off the earth.",no,0,0,low
Exodus 9:16,Exodus,9,16,"And because of this you have been preserved, so that I may display in you my strength and so that my name may be proclaimed in all the earth.","And for this purpose hast thou been preserved, that I might display in thee my strength, and that my name might be published in all the earth.",no,1,1,high
Exodus 9:17,Exodus,9,17,Do you still set yourself against my people so as not to send them out?,"Dost thou then yet exert thyself to hinder my people, so as not to let them go?",no,1,1,high
Exodus 9:18,Exodus,9,18,"Look, tomorrow at this hour I will rain a very great hail, such as has not happened in Egypt from the day it was created until this day.","Behold, to-morrow at this hour I will rain a very great hail, such as has not been in Egypt, from the time it was created until this day.",no,0,0,low
Exodus 9:19,Exodus,9,19,"Now then hasten to gather your livestock and all that is yours in the field, for all the human beings and the livestock, as many as may be found in the field and not come into a house, when the hail falls upon them, will die.","Now then hasten to gather thy cattle, and all that thou hast in the fields; for all the men and cattle as many as shall be found in the fields, and shall not enter into a house, (but the hail shall fall upon them,) shall die.",no,0,0,medium
Exodus 9:20,Exodus,9,20,The one fearing the word of the Lord among Pharaoh's servants gathered his livestock into the houses.,"He of the servants of Pharao that feared the word of the Lord, gathered his cattle into the houses.",no,0,0,low
Exodus 9:21,Exodus,9,21,But whoever did not attend in his mind to the word of the Lord left the livestock in the fields.,"And he that did not attend in his mind to the word of the Lord, left the cattle in the fields.",no,0,0,low
Exodus 9:22,Exodus,9,22,"And the Lord said to Moses, Stretch out your hand to the sky, and there will be hail on all the land of Egypt, both on the human beings and on the livestock and on every plant on the land.","And the Lord said to Moses, Stretch out thine hand to heaven, and there shall be hail on all the land of Egypt, both on the men and on the cattle, and on all the herbage on the land.",no,0,0,medium
Exodus 9:23,Exodus,9,23,"And Moses stretched out his hand to the sky, and the Lord gave voices and hail, and the fire ran along on the ground, and the Lord rained hail upon all the land of Egypt.","And Moses stretched forth his hand to heaven, and the Lord sent thunderings and hail; and the fire ran along upon the ground, and the Lord rained hail on all the land of Egypt.",no,1,1,high
Exodus 9:24,Exodus,9,24,"And there was hail, and the fire flaming in the hail, and the hail was very, very great, such as had not happened in Egypt from the time a nation came to be upon it.","So there was hail and flaming fire mingled with hail; and the hail was very great, such as was not in Egypt, from the time there was a nation upon it.",no,0,0,low
Exodus 9:25,Exodus,9,25,"And the hail struck in all the land of Egypt, from human being to livestock, and the hail struck every plant in the field, and the hail shattered all the trees in the field.","And the hail smote in all the land of Egypt both man and beast, and the hail smote all the grass in the field, and the hail broke in pieces all the trees in the field.",no,0,0,medium
Exodus 9:26,Exodus,9,26,"Only in the land of Goshen, where the sons of Israel were, there was no hail.","Only in the land of Gesem where the children of Israel were, the hail was not.",no,0,0,low
Exodus 9:27,Exodus,9,27,"And Pharaoh sent and called Moses and Aaron and said to them, I have sinned this time. The Lord is righteous, but I and my people are ungodly.","And Pharao sent and called Moses and Aaron, and said to them, I have sinned this time: the Lord is righteous, and I and my people are wicked.",no,0,0,low
Exodus 9:28,Exodus,9,28,"Pray then concerning me to the Lord, and let there cease from becoming voices of God and hail and fire, and I will send you out, and you shall no longer remain.","Pray then for me to the Lord, and let him cause the thunderings of God to cease, and the hail and the fire, and I will send you forth and ye shall remain no longer.",no,1,1,high
Exodus 9:29,Exodus,9,29,"And Moses said to him, As soon as I go out from the city, I will spread out my hands to the Lord, and the voices will cease, and the hail and the rain will be no more, so that you may know that the earth belongs to the Lord.","And Moses said to him, When I shall have departed from the city, I will stretch out my hands to the Lord, and the thunderings shall cease, and the hail and the rain shall be no longer, that thou mayest know that the earth is the Lord's.",no,0,0,low
Exodus 9:30,Exodus,9,30,"But you and your servants, I know that you do not yet fear the Lord.","But as for thee and thy servants, I know that ye have not yet feared the Lord.",no,0,0,low
Exodus 9:31,Exodus,9,31,"And the flax and the barley were struck, for the barley was standing, and the flax was seeding.","And the flax and the barley were smitten, for the barley was advanced, and the flax was seeding.",no,0,0,low
Exodus 9:32,Exodus,9,32,"But the wheat and the rye were not struck, for they were late.","But the wheat and the rye were not smitten, for they were late.",no,0,0,low
Exodus 9:33,Exodus,9,33,"And Moses went out from Pharaoh, outside the city, and spread out his hands to the Lord, and the voices ceased and the hail and the rain no longer fell on the earth.","And Moses went forth from Pharao out of the city, and stretched out his hands to the Lord, and the thunders ceased and the hail, and the rain did not drop on the earth.",no,0,0,low
Exodus 9:34,Exodus,9,34,"And Pharaoh, seeing that the rain and the hail and the voices had ceased, added to sin, and he made heavy his heart and the heart of his servants.","And when Pharao saw that the rain and the hail and the thunders ceased, he continued to sin; and he hardened his heart, and the heart of his servants.",no,1,1,high
Exodus 9:35,Exodus,9,35,"And Pharaoh's heart was hardened, and he did not send out the sons of Israel, just as the Lord had spoken to Moses.","And the heart of Pharao was hardened, and he did not send forth the children of Israel, as the Lord said to Moses.",no,0,0,low
Exodus 10:1,Exodus,10,1,"Then the Lord said to Moses, ""Go in to Pharaoh, for I have hardened his heart and the heart of his servants, so that these signs may come in turn upon them,""","And the Lord spoke to Moses, saying, Go in to Pharao: for I have hardened his heart and the heart of his servants, that these signs may come upon them; in order",no,0,0,low
Exodus 10:2,Exodus,10,2,"""so that you may tell your children and your children's children how I mocked the Egyptians and the signs I performed among them, and you will know that I am the Lord.""","that ye may relate in the ears of your children, and to your children's children, in how many things I have mocked the Egyptians, and my wonders which I wrought among them; and ye shall know that I am the Lord.",no,1,1,high
Exodus 10:3,Exodus,10,3,"Then Moses and Aaron went in before Pharaoh and said to him, ""These things says the Lord, the God of the Hebrews: How long will you refuse to humble yourself before me? Send my people away, so that they may serve me.""","And Moses and Aaron went in before Pharao, and they said to him, These things saith the Lord God of the Hebrews, How long dost thou refuse to reverence me? Send my people away, that they may serve me.",no,1,1,high
Exodus 10:4,Exodus,10,4,"""But if you refuse to send my people away, behold, at this hour tomorrow I am bringing a great swarm of locusts upon all your borders.""","But if thou wilt not send my people away, behold, at this hour to-morrow I will bring an abundance of locusts upon all thy coasts.",no,0,0,low
Exodus 10:5,Exodus,10,5,"""They will cover the face of the earth, and you will not be able to see the earth. They will eat every remainder of the land left behind, what the hail left for you, and they will eat every tree growing for you on the land.""","And they shall cover the face of the earth, and thou shalt not be able to see the earth; and they shall devour all that is left of the abundance of the earth, which the hail has left you, and shall devour every tree that grows for you on the land.",no,0,0,low
Exodus 10:6,Exodus,10,6,"""Your houses will be filled, and the houses of your servants, and all the houses in all the land of the Egyptians, with things your fathers never saw, nor their forefathers, from the day they came to be on the earth until this day."" Then Moses turned away and went out from Pharaoh.","And thy houses shall be filled, and the houses of thy servants, and all the houses in all the land of the Egyptians; things which thy fathers have never seen, nor their forefathers, from the day that they were upon the earth until this day. And Moses turned away and departed from Pharao.",no,0,0,low
Exodus 10:7,Exodus,10,7,"And Pharaoh's servants said to him, ""How long will this be a snare to us? Send the men away, so that they may serve their God. Do you need to learn that Egypt is ruined?""","And the servants of Pharao say to him, How long shall this be a snare to us? send away the men, that they may serve their God; wilt thou know that Egypt is destroyed?",no,0,0,low
Exodus 10:8,Exodus,10,8,"And they brought Moses and Aaron back to Pharaoh, and he said to them, ""Go, serve the Lord your God. But who exactly are the ones going?""","And they brought back both Moses and Aaron to Pharao; and he said to them, Go and serve the Lord your God; but who are they that are going with you?",no,0,0,low
Exodus 10:9,Exodus,10,9,"And Moses said, ""We will go with young and old, with our sons and daughters, with our sheep and cattle, for we have a feast of the Lord our God.""","And Moses said, We will go with the young and the old, with our sons, and daughters, and sheep, and oxen, for it is a feast of the Lord.",no,0,0,low
Exodus 10:10,Exodus,10,10,"And he said to them, ""So be it: may the Lord be with you, just as I send you out, you and your baggage. See, evil lies ahead of you.""","And he said to them, So let the Lord be with you: as I will send you away, must I send away your store also? see that evil is attached to you.",no,1,1,high
Exodus 10:11,Exodus,10,11,"""Not so. Let the men go and serve God, for this is what you yourselves seek."" And they drove them out from Pharaoh's presence.","Not so, but let the men go and serve God, for this ye yourselves seek; and they cast them out from the presence of Pharao.",no,0,0,low
Exodus 10:12,Exodus,10,12,"Then the Lord said to Moses, ""Stretch out your hand over the land of Egypt, and let the locust come up on the land and eat every plant of the land and every fruit of the trees that the hail left.""","And the Lord said to Moses, Stretch out thine hand over the land of Egypt, and let the locust come up on the land, and it shall devour every herb of the land, and all the fruit of the trees, which the hail left.",no,0,0,low
Exodus 10:13,Exodus,10,13,"And Moses lifted up the rod toward heaven, and the Lord brought a south wind upon the land all that day and all that night. Morning came, and the south wind brought in the locust.","And Moses lifted up his rod towards heaven, and the Lord brought a south wind upon the earth, all that day and all that night: the morning dawned, and the south wind brought up the locusts,",no,0,0,medium
Exodus 10:14,Exodus,10,14,"And it came up over all the land of Egypt, and it settled over all the borders of Egypt in very great abundance. Before it no locust like it had come to be, and after it none will be so.","and brought them up over all the land of Egypt. And they rested in very great abundance over all the borders of Egypt. Before them there were not such locusts, neither after them shall there be.",no,0,0,low
Exodus 10:15,Exodus,10,15,"And it covered the face of the earth, and the land was ruined. And it ate every plant of the earth and every fruit of the trees left by the hail. No green thing was left on the trees or in any plant of the field in all the land of Egypt.","And they covered the face of the earth, and the land was wasted, and they devoured all the herbage of the land, and all the fruit of the trees, which was left by the hail: there was no green thing left on the trees, nor on all the herbage of the field, in all the land of Egypt.",no,0,0,low
Exodus 10:16,Exodus,10,16,"Then Pharaoh hurried to call Moses and Aaron, saying, ""I have sinned before the Lord your God and against you.""","And Pharao hasted to call Moses and Aaron, saying, I have sinned before the Lord your God, and against you;",no,0,0,low
Exodus 10:17,Exodus,10,17,"""Forgive, then, my sin just this once, and pray to the Lord your God, and let him take this death away from me.""","pardon therefore my sin yet this time, and pray to the Lord your God, and let him take away from me this death.",no,0,0,low
Exodus 10:18,Exodus,10,18,And Moses went out from Pharaoh and prayed to God.,"And Moses went forth from Pharao, and prayed to God.",no,0,0,low
Exodus 10:19,Exodus,10,19,"And the Lord changed the wind to a strong wind from the sea, and it took up the locust and cast it into the Red Sea. Not one locust was left in all the land of Egypt.","And the Lord brought in the opposite direction a strong wind from the sea, and took up the locusts and cast them into the Red Sea, and there was not one locust left in all the land of Egypt.",no,0,0,medium
Exodus 10:20,Exodus,10,20,"And the Lord hardened Pharaoh's heart, and he did not send away the sons of Israel.","And the Lord hardened the heart of Pharao, and he did not send away the children of Israel.",no,0,0,low
Exodus 10:21,Exodus,10,21,"Then the Lord said to Moses, ""Stretch out your hand to heaven, and let darkness come over the land of Egypt, darkness that can be felt.""","And the Lord said to Moses, Stretch out thy hand to heaven, and let there be darkness over the land of Egypt—darkness that may be felt.",no,1,1,high
Exodus 10:22,Exodus,10,22,"And Moses stretched out his hand to heaven, and there came darkness, gloom, storm-cloud over all the land of Egypt for three days.","And Moses stretched out his hand to heaven, and there was darkness very black, even a storm over all the land of Egypt three days.",no,1,1,high
Exodus 10:23,Exodus,10,23,"No one saw his brother for three days, and no one rose from his bed for three days. But all the sons of Israel had light in every place where they lived.","And for three days no man saw his brother, and no man rose up from his bed for three days: but all the children of Israel had light in all the places where they were.",no,0,0,medium
Exodus 10:24,Exodus,10,24,"Then Pharaoh called Moses and Aaron, saying, ""Go, serve the Lord your God. Only leave the sheep and cattle behind, and let your baggage go along with you.""","And Pharao called Moses and Aaron, saying, Go, serve the Lord your God, only leave your sheep and your oxen, and let your store depart with you.",no,1,0,high
Exodus 10:25,Exodus,10,25,"And Moses said, ""But you too will give us whole burnt offerings and sacrifices, and we will offer them to the Lord our God.""","And Moses said, Nay, but thou shalt give to us whole burnt-offerings and sacrifices, which we will sacrifice to the Lord our God.",no,0,0,low
Exodus 10:26,Exodus,10,26,"""Our livestock too will go with us, and we will not leave behind a hoof, for from them we will take what we need to serve the Lord our God. But we do not know with what we will serve the Lord our God until we come there.""","And our cattle shall go with us, and we will not leave a hoof behind, for of them we will take to serve the Lord our God: but we know not in what manner we shall serve the Lord our God, until we arrive there.",no,1,1,high
Exodus 10:27,Exodus,10,27,"But the Lord hardened Pharaoh's heart, and he was not willing to send them away.","But the Lord hardened the heart of Pharao, and he would not let them go.",no,0,0,low
Exodus 10:28,Exodus,10,28,"And Pharaoh said, ""Go away from me. Watch yourself. Do not see my face again, for on the day you appear before me, you will die.""","And Pharao says, Depart from me, beware of seeing my face again, for in what day thou shalt appear before me, thou shalt die.",no,0,0,medium
Exodus 10:29,Exodus,10,29,"And Moses said, ""You have spoken. I will no longer appear before your face.""","And Moses says, Thou hast said, I will not appear in thy presence again.",no,0,0,low
Exodus 11:1,Exodus,11,1,"Then the Lord said to Moses, ""Yet one plague I will bring upon Pharaoh and upon Egypt, and after that he will send you out from here. Whenever he sends you out, he will surely drive you out with a complete expulsion.""","And the Lord said to Moses, I will yet bring one plague upon Pharao and upon Egypt, and after that he will send you forth thence; and whenever he sends you forth with every thing, he will indeed drive you out.",no,1,1,high
Exodus 11:2,Exodus,11,2,"""Speak secretly into the ears of the people, and let each man ask from his neighbor, and each woman from her neighbor, silver and gold vessels and clothing.""","Speak therefore secretly in the ears of the people, and let every one ask of his neighbour jewels of silver and gold, and raiment.",no,0,0,medium
Exodus 11:3,Exodus,11,3,"And the Lord gave his people favor in the sight of the Egyptians, and they lent to them. And Moses the man became exceedingly great in the sight of the Egyptians and before Pharaoh and before all his servants.","And the Lord gave his people favour in the sight of the Egyptians, and they lent to them; and the man Moses was very great before the Egyptians, and before Pharao, and before his servants.",no,1,1,high
Exodus 11:4,Exodus,11,4,"And Moses said, ""These things says the Lord: About midnight I enter into the midst of Egypt,""","And Moses said, These things saith the Lord, About midnight I go forth into the midst of Egypt.",no,1,1,high
Exodus 11:5,Exodus,11,5,"""and every firstborn in the land of Egypt will die, from Pharaoh's firstborn who sits on the throne to the firstborn of the female servant by the mill, and to the firstborn of every beast.""","And every first-born in the land of Egypt shall die, from the first-born of Pharao that sits on the throne, even to the first-born of the woman-servant that is by the mill, and to the first-born of all cattle.",no,0,0,medium
Exodus 11:6,Exodus,11,6,"""And there will be a great cry through all the land of Egypt, such as has never happened and will never be added again.""","And there shall be a great cry through all the land of Egypt, such as has not been, and such shall not be repeated any more.",no,0,0,low
Exodus 11:7,Exodus,11,7,"""But among all the sons of Israel not a dog will snarl with its tongue, from man to beast, so that you may know how marvelously the Lord will distinguish between the Egyptians and Israel.""","But among all the children of Israel shall not a dog snarl with his tongue, either at man or beast; that thou mayest know how wide a distinction the Lord will make between the Egyptians and Israel.",no,1,1,high
Exodus 11:8,Exodus,11,8,"""And all these servants of yours will come down to me and bow to me, saying, Go out, you and all the people whom you lead, and after that I will go out."" Then Moses went out from Pharaoh with anger.","And all these thy servants shall come down to me, and do me reverence, saying, Go forth, thou and all the people over whom thou presidest, and afterwards I will go forth.",no,1,0,high
Exodus 11:9,Exodus,11,9,"Then the Lord said to Moses, ""Pharaoh will not listen to you, so that I may greatly multiply my signs and wonders in the land of Egypt.""","And Moses went forth from Pharao with wrath. And the Lord said to Moses, Pharao will not hearken to you, that I may greatly multiply my signs and wonders in the land of Egypt.",no,0,0,low
Exodus 11:10,Exodus,11,10,"And Moses and Aaron did all these signs and wonders in the land of Egypt before Pharaoh. But the Lord hardened Pharaoh's heart, and he was not willing to send the sons of Israel out of the land of Egypt.","And Moses and Aaron wrought all these signs and wonders in the land of Egypt before Pharao; and the Lord hardened the heart of Pharao, and he did not hearken to send forth the children of Israel out of the land of Egypt.",no,0,0,low
Exodus 12:1,Exodus,12,1,"Then the Lord said to Moses and Aaron in the land of Egypt, saying,","And the Lord spoke to Moses and Aaron in the land of Egypt, saying,",no,0,0,low
Exodus 12:2,Exodus,12,2,"""This month will be for you the beginning of months; it is first for you among the months of the year.""",This month shall be to you the beginning of months: it is the first to you among the months of the year.,no,0,0,low
Exodus 12:3,Exodus,12,3,"""Speak to the whole assembly of the sons of Israel, saying, On the tenth day of this month let each take for themselves an animal from the flock according to ancestral houses, each an animal from the flock for the household.""","Speak to all the congregation of the children of Israel, saying, On the tenth of this month let them take each man a lamb according to the houses of their families, every man a lamb for his household.",no,1,1,high
Exodus 12:4,Exodus,12,4,"""But if those in the house are too few for an animal from the flock, he shall take along his neighbor nearest to him according to the number of persons. Each according to what is enough for him shall be counted toward the animal from the flock.""","And if they be few in a household, so that there are not enough for the lamb, he shall take with himself his neighbour that lives near to him,—as to the number of souls, every one according to that which suffices him shall make a reckoning for the lamb.",no,0,0,medium
Exodus 12:5,Exodus,12,5,"""The animal from the flock shall be for you unblemished, male, a year old. You shall take it from the lambs and from the kids.""","It shall be to you a lamb unblemished, a male of a year old: ye shall take it of the lambs and the kids.",no,0,0,low
Exodus 12:6,Exodus,12,6,"""And it shall be kept by you until the fourteenth day of this month, and the whole multitude of the assembly of the sons of Israel shall slaughter it toward evening.""","And it shall be kept by you till the fourteenth of this month, and all the multitude of the congregation of the children of Israel shall kill it toward evening.",no,0,0,low
Exodus 12:7,Exodus,12,7,"""And they shall take some of the blood and put it on the two doorposts and on the lintel in the houses where they eat it.""","And they shall take of the blood, and shall put it on the two door-posts, and on the lintel, in the houses in which soever they shall eat them.",no,0,0,low
Exodus 12:8,Exodus,12,8,"""And they shall eat the flesh on this night, roasted by fire, and unleavened bread. With bitter herbs they shall eat it.""","And they shall eat the flesh in this night roast with fire, and they shall eat unleavened bread with bitter herbs.",no,0,0,low
Exodus 12:9,Exodus,12,9,"""You shall not eat any of it raw or boiled in water, but only roasted by fire, the head with the feet and the inner parts.""","Ye shall not eat of it raw nor sodden in water, but only roast with fire, the head with the feet and the appurtenances.",no,0,0,low
Exodus 12:10,Exodus,12,10,"""You shall not leave any of it until morning, and you shall not break a bone from it. But what remains of it until morning you shall burn with fire.""","Nothing shall be left of it till the morning, and a bone of it ye shall not break; but that which is left of it till the morning ye shall burn with fire.",no,0,0,low
Exodus 12:11,Exodus,12,11,"""And thus you shall eat it: your waists girded, your sandals on your feet, your staffs in your hands, and you shall eat it in haste. It is Passover to the Lord.""","And thus shall ye eat it: your loins girded, and your sandals on your feet, and your staves in your hands, and ye shall eat it in haste. It is a passover to the Lord.",no,0,0,low
Exodus 12:12,Exodus,12,12,"""And I will pass through the land of Egypt on this night, and I will strike every firstborn in the land of Egypt, from man to beast, and on all the gods of the Egyptians I will execute vengeance. I am the Lord.""","And I will go through the land of Egypt in that night, and will smite every first-born in the land of Egypt both man and beast, and on all the gods of Egypt will I execute vengeance: I am the Lord.",no,0,0,medium
Exodus 12:13,Exodus,12,13,"""And the blood will be for you as a sign on the houses where you are, and I will see the blood and shelter you, and there shall not be among you a blow of destruction when I strike in the land of Egypt.""","And the blood shall be for a sign to you on the houses in which ye are, and I will see the blood, and will protect you, and there shall not be on you the plague of destruction, when I smite in the land of Egypt.",no,1,1,high
Exodus 12:14,Exodus,12,14,"""And this day will be for you a memorial, and you shall celebrate it as a feast to the Lord throughout your generations. As an age-lasting ordinance you shall celebrate it.""","And this day shall be to you a memorial, and ye shall keep it a feast to the Lord through all your generations; ye shall keep it a feast for a perpetual ordinance.",no,0,0,low
Exodus 12:15,Exodus,12,15,"""Seven days you shall eat unleavened bread, and from the first day you shall remove leaven from your houses. Everyone who eats leavened food, that person shall be destroyed from Israel, from the first day until the seventh day.""","Seven days ye shall eat unleavened bread, and from the first day ye shall utterly remove leaven from your houses: whoever shall eat leaven, that soul shall be utterly destroyed from Israel, from the first day until the seventh day.",no,0,0,medium
Exodus 12:16,Exodus,12,16,"""And the first day shall be called holy, and the seventh day shall be a holy assembly for you. No work of service shall you do on them, except what will be made for every person; that alone may be done for you.""","And the first day shall be called holy, and the seventh day shall be a holy convocation to you: ye shall do no servile work on them, only as many things as will necessarily be done by every soul, this only shall be done by you.",no,0,0,medium
