ref,book_name,chapter,verse,importance,priority_score,decision_count,footnote_count,nt_parallel_count,nt_parallel_weight,nt_parallel_refs,crossref_top_vote,crossref_nt_count,crossref_shared_family_hits,english_witness_checked,english_witness_fresh_support,english_witness_brenton_support,english_witness_mt_support,english_witness_differs_all,english_witness_split_or_mixed,english_witness_signals,english_witness_recommendation,nt_english_checked,nt_english_support_family,nt_english_softens_family,nt_english_mixed,nt_english_signals,nt_english_recommendation,logos_local_checked,logos_local_scopes,logos_local_source_tools,logos_local_signals,logos_local_supports,logos_local_confidence,logos_local_recommendation,consensus_recommendation,keyword_hits,reasons,fresh_translation,brenton_translation,_source_index
Isaiah 54:10,Isaiah,54,10,medium,19,0,0,0,0,,56,3,0,0,0,0,0,0,0,,needs_logos,0,0,0,0,,,0,,,,,,,needs_logos,"being, covenant, lord, mercy, peace","importance=medium; keywords=being, covenant, lord, mercy, peace; crossref_top_vote=56; eng_reco=needs_logos; reco=needs_logos","Mountains may be moved and your hills shaken, but my mercy for you will not fail, and the covenant of your peace will not be moved, says the Lord, being gracious to you.",,136
Isaiah 59:21,Isaiah,59,21,medium,15,0,0,0,0,,320,3,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"covenant, lord, seed, spirit","importance=medium; keywords=covenant, lord, seed, spirit; crossref_top_vote=320","And this covenant from me with them, said Lord: My Spirit which is on you and words I put in your mouth will not fail from your mouth nor from mouth of your seed, said Lord, from now and forever.",,137
Lamentations 3:25,Lamentations,3,25,medium,9,0,0,0,0,,56,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"lord, soul","importance=medium; keywords=lord, soul; crossref_top_vote=56","Lord good to those waiting for him, soul that seeks him, good.",,148
Ezekiel 18:20,Ezekiel,18,20,medium,11,0,0,0,0,,39,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"righteous, righteousness, soul","importance=medium; keywords=righteous, righteousness, soul; crossref_top_vote=39","And soul sinning will die, but son will not bear injustice of his father, nor father bear injustice of his son. Righteousness of righteous one will be upon him, and lawlessness of lawless one will be upon him.",,150
Ezekiel 43:19,Ezekiel,43,19,low,11,0,0,0,0,,5,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, lord, seed, sin","importance=low; keywords=god, lord, seed, sin; crossref_top_vote=5","And you will give to the Levitical priests, from seed of Zadok, those drawing near to me to minister to me, says Lord God, a young bull from the herd for sin.",,153
Daniel 4:22,Daniel,4,22,medium,12,0,0,0,0,,4,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"being, god, holy, king","importance=medium; keywords=being, god, holy, king; crossref_top_vote=4","And as for that tree being lifted up and coming near heaven and its trunk touching clouds, you, king, were exalted above all humans on face of whole earth. Your heart was lifted up in pride, and in strength your works were shown against the Holy One and his angels, because you laid waste house of living God because of sins of his consecrated people.",,157
Daniel 4:33,Daniel,4,33,medium,12,0,0,0,0,,3,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, king, lord, soul","importance=medium; keywords=god, king, lord, soul; crossref_top_vote=3","By morning all these things will be completed upon you, Nebuchadnezzar king of Babylon, and none of them will fail. I, Nebuchadnezzar king of Babylon, was bound for seven years; they fed me grass like an ox, and I ate from herbs of the earth. And after seven years I gave my soul to prayer and begged concerning my sins before Lord God of heaven, and concerning my ignorances I prayed to God of gods, the great one. And my hair became like eagle feathers, and my nails like those of a lion. My flesh was changed, and my heart; I walked naked among beasts of the earth. I saw a dream, and thoughts seized me, and after a time much sleep took me and drowsiness fell upon me.",,158
Daniel 4:37,Daniel,4,37,medium,16,0,0,0,0,,16,3,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, holy, king, lord, sacrifice, soul","importance=medium; keywords=god, holy, king, lord, sacrifice, soul; crossref_top_vote=16","I confess and praise the Most High, the one who made heaven and earth and seas and rivers and all in them. I confess and praise because he is God of gods and Lord of lords and King of kings, because he works signs and wonders and changes times and seasons, removing kingdom from kings and setting others in their place. From now on I will serve him, and fear of him has seized me, and I praise all his holy ones. Gods of nations have no power in themselves to turn kingdom of a king to another king, or to kill and make alive, or to do great and fearsome signs and wonders, or to change exceedingly great things, as God of heaven did in me and changed great things upon me. All days of my kingdom I will offer sacrifices concerning my soul to the Most High as sweet smell to the Lord, and I and my people and my nation and my lands under my authority will do what is pleasing before him. And whoever speaks against God of heaven, and whoever is caught speaking, I will condemn to death. King Nebuchadnezzar wrote a circular letter to all nations and lands and languages dwelling in all regions and generations: Praise Lord God of heaven and offer sacrifice and offering to him gloriously. I, king of kings, confess him gloriously, because this day he has done thus with me and seated me on my throne, and my authority and kingdom were restored to me. It seemed good to me to show you and your wise men that there is a God and his wonders are great. His kingdom is a kingdom forever, his authority from generations to generations. And he sent letters concerning all things that happened to him in his kingdom to all nations under his kingdom.",,160
Hosea 5:4,Hosea,5,4,medium,10,0,0,0,0,,7,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"god, lord, spirit","importance=medium; keywords=god, lord, spirit; crossref_top_vote=7","They have not set their counsels toward returning to their God, because a spirit of whoredom is in them, and they did not know the Lord.",,165
Hosea 13:4,Hosea,13,4,low,11,0,0,0,0,,13,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"created, god, lord, savior","importance=low; keywords=created, god, lord, savior; crossref_top_vote=13","But I am Lord your God, establishing heaven and creating earth, whose hands created all army of heaven, and I did not show them to you for you to go after them. And I brought you up from land of Egypt, and besides me you will know no god, and there is no savior except me.",,167
Amos 4:13,Amos,4,13,medium,13,0,0,0,0,,16,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"anointed, god, lord, name, wind","importance=medium; keywords=anointed, god, lord, name, wind; crossref_top_vote=16","For, behold, I am he that strengthens the thunder and creates the wind and proclaims to humans his anointed one, forming the morning and the darkness and mounting on the high places of the earth; the Lord God Almighty is his name.",,176
Amos 9:1,Amos,9,1,medium,12,0,0,0,0,,5,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"altar, being, lord, mercy","importance=medium; keywords=altar, being, lord, mercy; crossref_top_vote=5","I saw the Lord standing upon the altar, and he said, Strike upon the mercy-seat, and the foregates will be shaken; cut through into heads of all, and the remnant of them I will kill with sword. No one fleeing from them will flee away, and no one being rescued from them will be saved.",,178
Jonah 1:4,Jonah,1,4,medium,10,0,0,0,0,,10,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"being, lord, wind","importance=medium; keywords=being, lord, wind; crossref_top_vote=10","Lord stirred up a wind on sea, and a great surge happened on sea, and ship was in danger of being broken.",,186
Jonah 2:8,Jonah,2,8,medium,9,0,0,0,0,,13,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"holy, lord, soul","importance=medium; keywords=holy, lord, soul; crossref_top_vote=13","When my soul was failing from me, I remembered Lord, and may my prayer come to you, into your holy temple.",,190
Micah 3:8,Micah,3,8,medium,10,0,0,0,0,,11,5,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"judgment, lord, spirit","importance=medium; keywords=judgment, lord, spirit; crossref_top_vote=11","But I am filled with strength by the Spirit of the Lord and with judgment and power, to declare to Jacob his impiety and to Israel his sins.",,192
Micah 6:7,Micah,6,7,medium,11,0,0,0,0,,7,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"firstborn, lord, sin, soul","importance=medium; keywords=firstborn, lord, sin, soul; crossref_top_vote=7","Will Lord accept thousands of rams or tens of thousands of torrents of fat? Shall I give my firstborn for impiety, fruit of my womb for sin of my soul?",,195
Habakkuk 1:2,Habakkuk,1,2,medium,8,0,0,0,0,,9,1,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"being, lord","importance=medium; keywords=being, lord; crossref_top_vote=9","How long, Lord, will I cry out and you not hear? I will shout to you while being wronged, and you will not save.",,204
Habakkuk 2:4,Habakkuk,2,4,medium,12,0,0,0,0,,68,7,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"faith, righteous, soul","importance=medium; keywords=faith, righteous, soul; crossref_top_vote=68","If he should draw back, my soul has no pleasure in him; but the righteous one will live by my faith.",,206
Habakkuk 3:2,Habakkuk,3,2,medium,10,0,0,0,0,,28,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"lord, mercy, soul","importance=medium; keywords=lord, mercy, soul; crossref_top_vote=28","Lord, I heard your report and feared. I considered your works and was astonished. You will be known between the two living creatures; you will be acknowledged when the years draw near; you will be manifested when the time is come. When my soul is troubled, in wrath you will remember mercy.",,208
Zephaniah 3:4,Zephaniah,3,4,medium,9,0,0,0,0,,6,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"holy, law, spirit","importance=medium; keywords=holy, law, spirit; crossref_top_vote=6","Her prophets are spirit-borne men, contemptuous; her priests profane holy things and act impiously against law.",,213
Haggai 1:14,Haggai,1,14,medium,12,0,0,0,0,,6,1,0,2,2,0,0,0,0,,keep,0,0,0,0,,,0,,,,,,,keep,"god, lord, priest, spirit","importance=medium; keywords=god, lord, priest, spirit; crossref_top_vote=6; eng=fresh:2/brenton:0/mt:0; eng_reco=keep; reco=keep","The Lord stirred the spirit of Zerubbabel son of Salathiel from tribe of Judah, and the spirit of Jeshua son of Josedek the great priest, and the spirit of remnant of all the people, and they entered and were doing works in the house of the Lord Almighty their God,",,219
Haggai 2:9,Haggai,2,9,medium,12,0,0,0,0,,18,4,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"glory, lord, peace, soul","importance=medium; keywords=glory, lord, peace, soul; crossref_top_vote=18","Latter glory of this house will be greater than first, says Lord Almighty, and in this place I will give peace, says Lord Almighty, and peace of soul for preservation to everyone building to raise this temple.",,221
Zechariah 4:6,Zechariah,4,6,medium,11,0,0,0,0,,170,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"lord, spirit","importance=medium; keywords=lord, spirit; crossref_top_vote=170","And he answered and said to me: This is word of Lord to Zerubbabel, saying: Not by great power nor by might, but by my Spirit, says Lord Almighty.",,222
Zechariah 7:12,Zechariah,7,12,medium,10,0,0,0,0,,7,2,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"law, lord, spirit","importance=medium; keywords=law, lord, spirit; crossref_top_vote=7","And they set their hearts in disobedience so as not to hear my law and the words that the Lord Almighty sent by his Spirit through the former prophets, and great wrath came from the Lord Almighty.",,224
Zechariah 12:10,Zechariah,12,10,medium,15,0,0,0,0,,34,4,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"beloved, compassion, firstborn, grace, spirit","importance=medium; keywords=beloved, compassion, firstborn, grace, spirit; crossref_top_vote=34","And I will pour out upon house of David and upon inhabitants of Jerusalem spirit of grace and compassion, and they will look toward me because they mocked, and they will mourn for him with mourning as for beloved one and grieve over him as over firstborn.",,225
Malachi 2:10,Malachi,2,10,low,10,0,0,0,0,,42,3,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,,,,,,,"covenant, create, god","importance=low; keywords=covenant, create, god; crossref_top_vote=42","Did not one God create you? Is not one father of all you? Why does each abandon his brother, to profane covenant of your fathers?",,232
